dataset,generator,metric_category,metric_name,seed_42,seed_123,seed_2024,mean,sd,mean_sd,n_seeds,task
Adult,CTABGAN,Fidelity,KS_Complement,0.57255,0.5660499999999999,0.5557416666666667,0.5647805555555555,0.008475767473170734,0.564781 ± 0.00847577,3,classification
Adult,CTABGAN,Fidelity,MMD,0.0107644948536015,0.0203157439446324,0.0115948897150075,0.014225042837747134,0.005291017755264335,0.014225 ± 0.00529102,3,classification
Adult,CTABGAN,Fidelity,Quality_Score,0.8516233333333334,0.7746139583333334,0.8331525,0.8197965972222222,0.040204428409439504,0.819797 ± 0.0402044,3,classification
Adult,CTABGAN,Fidelity,Wasserstein_Distance,1106.45330475553,1129.2552706521587,1411.2480766059923,1215.6522173378937,169.77422517657718,1215.65 ± 169.774,3,classification
Adult,CTGAN,Fidelity,KS_Complement,0.7565791666666666,0.7845333333333334,0.7589041666666668,0.7666722222222223,0.015511797892010896,0.766672 ± 0.0155118,3,classification
Adult,CTGAN,Fidelity,MMD,0.0076491164816627,0.020382356063501,0.010955427069716,0.012995633204959901,0.006607244385357525,0.0129956 ± 0.00660724,3,classification
Adult,CTGAN,Fidelity,Quality_Score,0.8218833333333333,0.8355758333333333,0.8527131250000002,0.8367240972222222,0.015446938079160399,0.836724 ± 0.0154469,3,classification
Adult,CTGAN,Fidelity,Wasserstein_Distance,2384.298374999998,4739.7567249999975,3379.189399999998,3501.081499999998,1182.450537095733,3501.08 ± 1182.45,3,classification
Adult,CopulaGAN,Fidelity,KS_Complement,0.9455916666666668,0.9348416666666668,0.9374125,0.9392819444444446,0.005613532034125097,0.939282 ± 0.00561353,3,classification
Adult,CopulaGAN,Fidelity,MMD,0.0070696958480994,0.0098508913035538,0.0098684807986182,0.008929689316757134,0.0016108256035869389,0.00892969 ± 0.00161083,3,classification
Adult,CopulaGAN,Fidelity,Quality_Score,0.9025222916666666,0.8992766666666666,0.8874614583333333,0.8964201388888888,0.007926347732879422,0.89642 ± 0.00792635,3,classification
Adult,CopulaGAN,Fidelity,Wasserstein_Distance,2829.149508333332,2915.329558333331,1231.092566666666,2325.1905444444433,948.4959351455158,2325.19 ± 948.496,3,classification
Adult,ForestDiffusion,Fidelity,KS_Complement,0.688875,0.6904458333333333,0.6884625,0.6892611111111111,0.0010465247824922065,0.689261 ± 0.00104652,3,classification
