n,pearson_r,pearson_p,spearman_rho,spearman_p,r2,slope,intercept,interpretation,Figure,X,Y,Level
8,0.7051119703980784,0.05076561109448207,0.07142857142857144,0.8665262706759088,0.49718289079866057,0.698402595111687,0.1279818550884786,No statistically significant relationship (p ≥ 0.05).,Figure01_fidelity_vs_utility_F1,Fidelity,Utility,primary
8,-0.5626264606524811,0.14655729623414973,0.023809523809523815,0.9553740118158807,0.3165485342263379,-0.01292300920900591,0.7734291549003169,No statistically significant relationship (p ≥ 0.05).,Figure02_privacy_vs_utility_F1,Privacy,Utility,primary
8,-0.9370405603922872,0.0005948210526397558,-0.9047619047619048,0.0020082755054294677,0.8780450118202917,-0.021729720164717723,0.9477647037858106,Strong negative correlation.,Figure03_fidelity_vs_privacy_F1,Privacy,Fidelity,primary
160,0.6365347686066429,1.4820551880739917e-19,0.544620290617499,9.728613465300704e-14,0.4051765116451125,0.6455474554495653,0.16967832337541255,Moderate positive correlation.,FigureS01_fidelity_vs_utility_F1,Fidelity,Utility,supplementary
160,-0.502869777548139,1.2322963653130354e-11,-0.1787416024130842,0.023732131106847545,0.2528780131713148,-0.011631341121337088,0.7639847756535061,Moderate negative correlation.,FigureS02_privacy_vs_utility_F1,Privacy,Utility,supplementary
160,-0.8933229758707777,9.302157854602794e-57,-0.6882352941176471,8.724794095644686e-24,0.7980259392186221,-0.02037401954291283,0.9378521334128979,Strong negative correlation.,FigureS03_fidelity_vs_privacy_F1,Privacy,Fidelity,supplementary
