Dataset,Generator,LeakageLevel,PrivacyScore,PrivacyStd,N_Privacy_Metrics
1. Cancer,CTABGAN,0,0.6670557325674165,0.3020752481436006,6
1. Cancer,CTGAN,0,0.20133404306842062,0.29118750177352787,10
1. Cancer,CopulaGAN,0,0.17173701633021682,0.29437987430415746,10
1. Cancer,ForestDiffusion,0,0.7279601106252133,0.38688070221461424,6
1. Cancer,GaussianCopula,0,0.8121587739421542,0.34459889387703796,10
1. Cancer,TVAE,0,0.5817496483258702,0.3266270920749452,10
1. Cancer,TabDDPM,0,0.7201306164880913,0.3716551046688774,6
1. Cancer,WGAN_GP,0,0.7262959665789475,0.3734551008039336,6
