Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
1. Cancer,ForestDiffusion,0.0,0.968362898094103,0.26481773991418645,0.7458789484729241,0.6905541657537744,1.0
1. Cancer,CTABGAN,0.0,0.8534899925686222,0.5133862651733053,0.5363147907251201,0.6563063137969766,2.0
1. Cancer,TVAE,0.0,0.9230599709384475,0.41377407517736103,0.4877173849809624,0.639671426422876,3.0
1. Cancer,GaussianCopula,0.0,0.8200940787089187,0.3928241452145236,0.6147824256659962,0.6303196027477234,4.0
1. Cancer,WGAN_GP,0.0,0.9355254935904923,0.25572457800256904,0.5695028378343651,0.6217784221872772,5.0
1. Cancer,CTGAN,0.0,0.7038964675556111,0.4750360720991947,0.3123008246014149,0.5177596560324272,6.0
1. Cancer,TabDDPM,0.0,0.3220413157082996,0.5143939653183046,0.4597927818721145,0.42107255044044556,7.0
1. Cancer,CopulaGAN,0.0,0.37296538804801294,0.36828778723365513,0.3801171918778428,0.3737076489526545,8.0
