Generator,UtilityScore,FidelityScore,PrivacyScore,OverallScore,UtilityStd,FidelityStd,PrivacyStd,Rank
ForestDiffusion,0.968362898094103,0.4849657455036203,0.7279601106252133,0.7512229160762912,0.02533261560431084,0.4728531538294638,0.38688070221461424,1
WGAN_GP,0.9355254935904923,0.4785157516103453,0.7262959665789475,0.7356537128929848,0.03091233954307604,0.48158894467044705,0.3734551008039336,2
GaussianCopula,0.8200940787089187,0.519908292713704,0.8121587739421542,0.7276577514803249,0.04558184888203832,0.4595556126630457,0.34459889387703796,3
TVAE,0.9230599709384475,0.5372078162303315,0.5817496483258702,0.7049112277422396,0.029939057439159596,0.44654081350613845,0.3266270920749452,4
CTABGAN,0.8534899925686222,0.5275669612932169,0.6670557325674165,0.699782805185639,0.03844262538306072,0.3925352606417877,0.3020752481436006,5
CTGAN,0.7038964675556111,0.48727946968221425,0.20133404306842062,0.4881426408474349,0.04208972191513813,0.2798978131734407,0.29118750177352787,6
TabDDPM,0.3220413157082996,0.4629545687864741,0.7201306164880913,0.48374208186568946,0.1586658384894548,0.4746639280065832,0.3716551046688774,7
CopulaGAN,0.37296538804801294,0.49302063444612604,0.17173701633021682,0.348613450452108,0.07790029599774173,0.2113072186826778,0.29437987430415746,8
