Dataset,Generator,Fidelity (Quality),Accuracy TSTR,Accuracy Gap,F1 TSTR,F1 Gap,MIA AUC
Forest Cover,WGAN-GP,0.173936 ± 0.00159588,0.433037 ± 0.0291763,0.302763 ± 0.0291763,0.40416 ± 0.034184,0.324552 ± 0.034184,0.633901 ± 0.0645542
MAGIC Gamma,CTABGAN,0.944044 ± 0.00580133,0.792346 ± 0.00567422,0.0411891 ± 0.00567422,0.787427 ± 0.00591165,0.0433074 ± 0.00591165,0.579309 ± 0.0694334
MAGIC Gamma,CTGAN,0.896977 ± 0.0134251,0.740083 ± 0.0135393,0.0934516 ± 0.0135393,0.743291 ± 0.0123849,0.0874433 ± 0.0123849,0.67316 ± 0.0636547
MAGIC Gamma,CopulaGAN,0.895821 ± 0.0109671,0.736347 ± 0.0236226,0.097188 ± 0.0236226,0.737778 ± 0.020705,0.0929562 ± 0.020705,0.688222 ± 0.0484889
MAGIC Gamma,ForestDiffusion,0.901842 ± 0.0114557,0.780748 ± 0.0145637,0.0527865 ± 0.0145637,0.782472 ± 0.0137517,0.0482624 ± 0.0137517,0.511938 ± 0.0426331
MAGIC Gamma,GaussianCopula,0.905243 ± 0,0.73725 ± 0,0.0962846 ± 0,0.718891 ± 0,0.111843 ± 0,0.502593 ± 0
MAGIC Gamma,TVAE,0.911946 ± 0.0138266,0.772168 ± 0.0218767,0.061367 ± 0.0218767,0.770961 ± 0.0233764,0.0597728 ± 0.0233764,0.648296 ± 0.0448146
MAGIC Gamma,TabDDPM,0.939333 ± 0.00625328,0.609634 ± 0.0117563,0.223901 ± 0.0117563,0.544117 ± 0.00999151,0.286617 ± 0.00999151,0.53563 ± 0.0385465
MAGIC Gamma,WGAN-GP,0.928844 ± 0.00751532,0.79426 ± 0.0143899,0.0392744 ± 0.0143899,0.789596 ± 0.0145686,0.041138 ± 0.0145686,0.656605 ± 0.0710445
Mushroom,CTABGAN,0.899693 ± 0.0308257,0.627357 ± 0.0576957,0.25151 ± 0.0576957,0.614342 ± 0.0770524,0.262598 ± 0.0770524,0.627025 ± 0.152834
Mushroom,CTGAN,0.856416 ± 0.00956972,0.55153 ± 0.0110348,0.327337 ± 0.0110348,0.525994 ± 0.0280106,0.350945 ± 0.0280106,0.641074 ± 0.0350791
Mushroom,CopulaGAN,0.844416 ± 0.0100284,0.558373 ± 0.0151624,0.320493 ± 0.0151624,0.537777 ± 0.0261699,0.339162 ± 0.0261699,0.643519 ± 0.0427256
Mushroom,ForestDiffusion,0.675183 ± 0.0104315,0.60269 ± 0.0277884,0.276177 ± 0.0277884,0.571037 ± 0.0506443,0.305903 ± 0.0506443,0.991778 ± 0.0103236
Mushroom,GaussianCopula,0.898581 ± 0,0.561633 ± 0,0.317233 ± 0,0.555761 ± 0,0.321178 ± 0,0.456914 ± 0
Mushroom,TVAE,0.901112 ± 0.00648501,0.642027 ± 0.0256255,0.23684 ± 0.0256255,0.618631 ± 0.0411236,0.258309 ± 0.0411236,0.910383 ± 0.14296
Mushroom,TabDDPM,0.295577 ± 0.00576007,0.503563 ± 0.0261478,0.375303 ± 0.0261478,0.454027 ± 0.028215,0.422913 ± 0.028215,1 ± 0
Mushroom,WGAN-GP,0.732046 ± 0.004898,0.62618 ± 0.02521,0.252687 ± 0.02521,0.605082 ± 0.0455603,0.271857 ± 0.0455603,1 ± 0
Wine Quality,CTABGAN,0.895055 ± 0.00616824,0.467017 ± 0.00889405,0.132949 ± 0.00889405,0.445412 ± 0.0105702,0.140131 ± 0.0105702,0.992469 ± 0.00489141
Wine Quality,CTGAN,0.776404 ± 0.0161007,0.333997 ± 0.0329493,0.265969 ± 0.0329493,0.345558 ± 0.0319583,0.239985 ± 0.0319583,0.751247 ± 0.0858619
Wine Quality,CopulaGAN,0.815592 ± 0.0118184,0.352881 ± 0.0176005,0.247085 ± 0.0176005,0.372794 ± 0.0190453,0.212749 ± 0.0190453,0.70058 ± 0.0615261
Wine Quality,ForestDiffusion,0.880248 ± 0.00424591,0.460075 ± 0.0128245,0.139891 ± 0.0128245,0.456954 ± 0.00986354,0.128589 ± 0.00986354,0.996543 ± 0.00302966
Wine Quality,GaussianCopula,0.938285 ± 0,0.388367 ± 0,0.211599 ± 0,0.317389 ± 0,0.268154 ± 0,0.69 ± 0
Wine Quality,TVAE,0.918717 ± 0.00554884,0.50435 ± 0.0122481,0.0956156 ± 0.0122481,0.479258 ± 0.00932257,0.106285 ± 0.00932257,0.749198 ± 0.0284405
Wine Quality,TabDDPM,0.783993 ± 0.0188319,0.396184 ± 0.0124568,0.203782 ± 0.0124568,0.323028 ± 0.0164227,0.262515 ± 0.0164227,0.995099 ± 0.00307187
Wine Quality,WGAN-GP,0.95067 ± 0.00539745,0.435272 ± 0.0330476,0.164694 ± 0.0330476,0.419477 ± 0.0341729,0.166066 ± 0.0341729,0.710407 ± 0.0497537
