Dataset,Generator,Fidelity (Quality),R² TSTR,R² Gap,RMSE TSTR,RMSE Gap,MIA AUC
Online Shopping,CTGAN,0.713799 ± 0.00898726,0.390604 ± 0.0598469,0.446847 ± 0.0598469,10.2257 ± 0.506482,4.96531 ± 0.506482,0.603827 ± 0.0355652
Online Shopping,CopulaGAN,0.713187 ± 0.0120907,0.39971 ± 0.0528011,0.437741 ± 0.0528011,10.1384 ± 0.434064,4.87805 ± 0.434064,0.642778 ± 0.0430167
Online Shopping,ForestDiffusion,0.333545 ± 0.00318232,0.809556 ± 0.0144456,0.0278951 ± 0.0144456,5.6995 ± 0.221709,0.439134 ± 0.221709,0.938012 ± 0.0161784
Online Shopping,GaussianCopula,0.698566 ± 0,0.482703 ± 0,0.354748 ± 0,9.43557 ± 0,4.1752 ± 0,0.580247 ± 0
Online Shopping,TVAE,0.747306 ± 0.0132028,0.729955 ± 0.0384268,0.107496 ± 0.0384268,6.79118 ± 0.454387,1.53081 ± 0.454387,0.792123 ± 0.0254459
Online Shopping,TabDDPM,0.398615 ± 0.00373108,-0.556072 ± 0.226715,1.39352 ± 0.226715,16.2546 ± 1.22344,10.9942 ± 1.22344,0.83784 ± 0.0319685
Online Shopping,WGAN-GP,0.203195 ± 0.0029088,0.808743 ± 0.0122301,0.0287077 ± 0.0122301,5.72462 ± 0.183812,0.464252 ± 0.183812,0.582494 ± 0.0336887
Real Estate,CTABGAN,0.862983 ± 0.028196,0.472442 ± 0.103432,0.262146 ± 0.103432,9.35818 ± 0.921786,2.7291 ± 0.921786,0.652086 ± 0.0309004
Real Estate,CTGAN,0.728835 ± 0.0194939,-0.578274 ± 0.572375,1.31286 ± 0.572375,16.0092 ± 2.81013,9.3801 ± 2.81013,0.915802 ± 0.0192821
Real Estate,CopulaGAN,0.727258 ± 0.0210341,-0.311128 ± 0.406866,1.04572 ± 0.406866,14.6369 ± 2.3039,8.00782 ± 2.3039,0.916926 ± 0.0242356
Real Estate,ForestDiffusion,0.934317 ± 0.00627302,0.681087 ± 0.0321892,0.0535006 ± 0.0321892,7.29881 ± 0.343536,0.669727 ± 0.343536,0.506802 ± 0.0299541
Real Estate,GaussianCopula,0.865554 ± 0,0.530273 ± 0,0.204315 ± 0,8.87666 ± 0,2.24758 ± 0,0.942222 ± 0
Real Estate,TVAE,0.908955 ± 0.00719887,0.558497 ± 0.0555417,0.176091 ± 0.0555417,8.56418 ± 0.509309,1.93509 ± 0.509309,0.881741 ± 0.00774132
Real Estate,TabDDPM,0.772479 ± 0.0548001,0.262493 ± 0.162233,0.472095 ± 0.162233,10.7829 ± 1.13737,4.15382 ± 1.13737,0.724889 ± 0.0539053
Real Estate,WGAN-GP,0.877084 ± 0.0181268,0.469113 ± 0.14199,0.265475 ± 0.14199,9.35583 ± 1.18711,2.72675 ± 1.18711,0.791679 ± 0.0878078
