Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap_R2
ForestDiffusion,ForestDiffusion,0.708662,0.693190,0.917427,0.912163,-0.005265
TVAE,TVAE,0.886220,0.999522,0.765985,0.929135,0.163150
CTABGAN,CTABGAN,0.704767,1.000000,-1.177548,0.929135,2.106684
WGAN_GP,WGAN-GP,0.626702,1.000000,0.819414,0.929135,0.109722
GaussianCopula,GaussianCopula,0.789355,1.000000,0.609923,0.929135,0.319212
CopulaGAN,CopulaGAN,0.686985,1.000000,-0.395873,0.929135,1.325008
CTGAN,CTGAN,0.677298,1.000000,-0.131470,0.929135,1.060605
TabDDPM,TabDDPM,0.654671,0.986806,0.643088,0.912163,0.269074
