Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Air Quality,6.499763,2.730768,2.954258,0.836439,3.230067,1.690048,5.529002,0.606514
Concrete,8.987226,9.933606,9.706522,1.470108,6.582174,3.589419,2.627833,3.70441
Energy Efficiency,6.630795,8.126429,7.921873,0.349946,2.010195,1.696149,1.10179,0.75781
Metro Interstate,119.2857,55.934917,40.51093,-8.465245,15.363918,286.62544,252.588862,56.774001
Online Shopping,13.717783,4.677766,4.530218,0.959929,4.047462,1.791645,10.400634,1.339476
Real Estate,2.790015,8.456091,7.138331,0.50224,1.553241,1.61752,3.358775,2.422217
