Generator,AverageRank,MedianRank,StdDevRank
ForestDiffusion,1.166667,1.0,0.408248
WGAN-GP,3.5,3.0,2.258318
TVAE,3.833333,3.5,1.47196
GaussianCopula,4.166667,4.0,1.169045
TabDDPM,5.0,5.5,2.097618
CopulaGAN,5.333333,5.5,1.861899
CTGAN,6.0,6.5,2.097618
CTABGAN,7.0,8.0,1.67332
