,ForestDiffusion,WGAN-GP,GaussianCopula,TVAE,TabDDPM,CopulaGAN,CTGAN,CTABGAN
ForestDiffusion,1.0,0.900554,0.479397,0.479397,0.063764,0.031635,0.006309,0.004044
WGAN-GP,0.900554,1.0,0.996822,0.996822,0.719644,0.560856,0.26284,0.206151
GaussianCopula,0.479397,0.996822,1.0,1.0,0.981837,0.9382,0.719644,0.642096
TVAE,0.479397,0.996822,1.0,1.0,0.981837,0.9382,0.719644,0.642096
TabDDPM,0.063764,0.719644,0.981837,0.981837,1.0,0.999998,0.996822,0.991762
CopulaGAN,0.031635,0.560856,0.9382,0.9382,0.999998,1.0,0.999773,0.999012
CTGAN,0.006309,0.26284,0.719644,0.719644,0.996822,0.999773,1.0,1.0
CTABGAN,0.004044,0.206151,0.642096,0.642096,0.991762,0.999012,1.0,1.0
