Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Air Quality,8.0,4.0,5.0,2.0,6.0,3.0,7.0,1.0
Concrete,7.0,8.0,6.0,1.0,5.0,3.0,2.0,4.0
Energy Efficiency,6.0,8.0,7.0,1.0,4.0,5.0,3.0,2.0
Metro Interstate,8.0,4.0,2.0,1.0,3.0,7.0,5.0,6.0
Online Shopping,8.0,6.0,5.0,1.0,4.0,3.0,7.0,2.0
Real Estate,5.0,8.0,7.0,1.0,3.0,2.0,6.0,4.0
