Generator,AverageRank,MedianRank,StdDevRank
ForestDiffusion,1.166667,1.0,0.408248
WGAN-GP,3.0,3.0,1.549193
GaussianCopula,4.0,4.5,1.67332
TVAE,4.0,3.0,2.0
TabDDPM,5.333333,6.5,2.250926
CopulaGAN,5.666667,6.0,1.632993
CTGAN,6.333333,7.0,1.966384
CTABGAN,6.5,6.0,1.224745
