Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap_R2
ForestDiffusion,ForestDiffusion,0.877000,0.562875,0.645952,0.663781,0.017829
TVAE,TVAE,0.894231,0.760375,0.358572,0.660419,0.301847
CTABGAN,CTABGAN,0.772333,0.464033,-0.102583,0.660419,0.763002
WGAN_GP,WGAN-GP,0.744333,0.391144,0.328911,0.660419,0.331507
GaussianCopula,GaussianCopula,0.847314,0.844161,0.466939,0.660419,0.193480
CopulaGAN,CopulaGAN,0.724632,0.939605,-0.852332,0.660419,1.512751
CTGAN,CTGAN,0.720855,0.904203,-0.575261,0.660419,1.235679
TabDDPM,TabDDPM,0.948889,0.572591,0.578242,0.663781,0.085539
