Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.877000,0.562875,0.645952,0.663781,0.017829,-0.800096,-0.833333,0.556454,0.404762
TVAE,0.894231,0.760375,0.358572,0.660419,0.301847,-0.800096,-0.833333,0.556454,0.404762
CTABGAN,0.772333,0.464033,-0.102583,0.660419,0.763002,-0.800096,-0.833333,0.556454,0.404762
WGAN-GP,0.744333,0.391144,0.328911,0.660419,0.331507,-0.800096,-0.833333,0.556454,0.404762
GaussianCopula,0.847314,0.844161,0.466939,0.660419,0.193480,-0.800096,-0.833333,0.556454,0.404762
CopulaGAN,0.724632,0.939605,-0.852332,0.660419,1.512751,-0.800096,-0.833333,0.556454,0.404762
CTGAN,0.720855,0.904203,-0.575261,0.660419,1.235679,-0.800096,-0.833333,0.556454,0.404762
TabDDPM,0.948889,0.572591,0.578242,0.663781,0.085539,-0.800096,-0.833333,0.556454,0.404762
