Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,WGAN_GP,Gradient Boosting,0,0.9421052631578947,0.01848360307518023,2
1. Cancer,WGAN_GP,KNN,0,0.9394736842105262,0.01685032694061277,2
1. Cancer,WGAN_GP,Logistic Regression,0,0.95,0.01712212394380976,2
1. Cancer,WGAN_GP,MLP,0,0.9429824561403508,0.02047827636829603,2
1. Cancer,WGAN_GP,Naive Bayes,0,0.9307017543859649,0.01939767051534734,2
1. Cancer,WGAN_GP,Random Forest,0,0.9456140350877191,0.02068390547816071,2
1. Cancer,WGAN_GP,SVM-RBF,0,0.9473684210526315,0.02418254167033372,2
2. Alzhimers,CTABGAN,AdaBoost,0,0.9266666666666667,0.03386246693120078,2
2. Alzhimers,CTABGAN,Decision Tree,0,0.548,0.08893443277681223,2
2. Alzhimers,CTABGAN,Extra Trees,0,0.9480000000000001,0.03745219174716837,2
2. Alzhimers,CTABGAN,Gradient Boosting,0,0.704,0.09367556304133491,2
2. Alzhimers,CTABGAN,KNN,0,0.8573333333333334,0.04260412082312123,2
2. Alzhimers,CTABGAN,Logistic Regression,0,0.932,0.01733333333333333,2
2. Alzhimers,CTABGAN,MLP,0,0.7973333333333334,0.04873511168665886,2
2. Alzhimers,CTABGAN,Naive Bayes,0,0.9013333333333333,0.03685406656289401,2
2. Alzhimers,CTABGAN,Random Forest,0,0.8786666666666665,0.033967304540952,2
2. Alzhimers,CTABGAN,SVM-RBF,0,0.9120000000000001,0.02745501370929866,2
2. Alzhimers,CTGAN,AdaBoost,0,0.5186666666666666,0.04749736834815167,2
2. Alzhimers,CTGAN,Decision Tree,0,0.4946666666666666,0.1069080601888058,2
2. Alzhimers,CTGAN,Extra Trees,0,0.576,0.05191445955715144,2
2. Alzhimers,CTGAN,Gradient Boosting,0,0.5333333333333334,0.05811865258054231,2
2. Alzhimers,CTGAN,KNN,0,0.5773333333333334,0.04734741574550586,2
2. Alzhimers,CTGAN,Logistic Regression,0,0.6119999999999999,0.03448671241700681,2
2. Alzhimers,CTGAN,MLP,0,0.5586666666666666,0.06035450825470014,2
2. Alzhimers,CTGAN,Naive Bayes,0,0.6146666666666666,0.04440220214759123,2
2. Alzhimers,CTGAN,Random Forest,0,0.5266666666666667,0.04184627953726726,2
2. Alzhimers,CTGAN,SVM-RBF,0,0.5853333333333335,0.04519587001780877,2
