Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Air Quality,32.99649758979917,5.185415905396216,6.466906698327517,1.7294854585222847,9.096777018801083,4.618537034417853,9.411297237091437,1.1103890574284445
Concrete,11.335486892699256,11.565190195878634,11.104163442278438,1.6326985416950723,8.093266346757641,3.7374573847244696,2.7483056572059734,6.441391946796453
Energy Efficiency,7.376711193495017,8.97249784851534,8.6057400054668,0.3932093012947254,1.9572510092857862,2.1359986185420996,1.2381012993471954,0.8350364086907625
Metro Interstate,1141.3110083413965,41.392607950360755,10.586736956927712,-25.716496942068215,16.491714798673,608.6869165307074,363.51151876717523,574.0680431365467
Online Shopping,14.04518438271663,4.965308461572508,4.878052881392595,0.43913398326617614,4.1752040520332,1.5308123999014696,10.994211770951807,0.4642520974229945
Real Estate,2.72909966451556,9.380098733256737,8.007818457422628,0.66972689711316,2.2475780087928205,1.9350945239809818,4.15381726439189,2.72674916262194
