Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Adult,0.8954616736111112,0.8475936875000001,0.8914222083333334,0.7766097083333333,0.8082358333333334,0.8400514583333333,0.28638039583333336,0.7171099791666666
Alzheimer's,0.33141809465648353,0.710440490252109,0.6946412703294969,0.42241295542628554,0.7942522552187231,0.7366465024397287,0.4217069219298753,0.507340857735704
Bank Marketing,0.8070108224102635,0.8777072563055942,0.8797443784070872,0.8671820545563736,0.8505668537520013,0.8688827586653399,0.4246023775508293,0.7432775228236256
CDC Diabetes,0.016217074673411068,0.8695345959595959,0.8572303030303031,0.5770734377999134,0.9111395202020203,0.8853794191919192,0.5573252525366162,0.08909157385507817
Cancer,0.8127815635631451,0.6750345390481358,0.6613337524389579,0.9348955969437689,0.931154552270882,0.8449194061279304,0.6038662698691937,0.8805043399288216
Forest Cover,0.08596891566667866,0.8426187441903897,0.843478481897505,0.8298355349764023,0.9220989336183832,0.9349597983844129,0.4752331360442956,0.17393584849759766
MAGIC Gamma,0.9440437025610379,0.8969774814985081,0.8958208703478526,0.9018416805704277,0.9052429330332827,0.9119462464067982,0.9393325410963771,0.9288439817512935
Mushroom,0.8996933662703336,0.8564160942613205,0.8444163929099717,0.6751828110374867,0.8985806959757218,0.9011118240283482,0.2955771086334165,0.7320459716623403
Wine Quality,0.8950550153084089,0.7764038374086406,0.8155922527853455,0.8802478499917179,0.9382852305742173,0.9187174076366771,0.7839931953415816,0.950669928975616
