Generator,AverageRank,MedianRank,StdDevRank
ForestDiffusion,2.44444425,2.44444425,0.8164967170104953
WGAN-GP,2.91666675,2.91666675,0.3671149588402112
TVAE,2.9999997499999997,2.9999997499999997,0.37405585947589437
CTABGAN,3.9166667499999996,3.9166667499999996,0.13981160898956146
GaussianCopula,5.25000025,5.25000025,0.5619996613358264
CTGAN,5.527777749999999,5.527777749999999,0.26254554376637856
CopulaGAN,5.7777775,5.7777775,0.38490037190984044
TabDDPM,7.166666749999999,7.166666749999999,0.3685139493482576
