DatasetKey,Generator,Mean,Std,CV
Cancer,CTABGAN,0.882719298245614,0.02284904814275749,0.02640107319172318
Cancer,CTGAN,0.7193859649122807,0.036438680388859813,0.05216426990542149
Cancer,CopulaGAN,0.3592982456140351,0.06527766646913409,0.17959734031631908
Cancer,ForestDiffusion,0.9616666666666667,0.016791725843263612,0.017545319216661533
Cancer,GaussianCopula,0.860438596491228,0.03044205677208331,0.03660311415609853
Cancer,TVAE,0.9264035087719298,0.02036077455870763,0.022081956098292457
Cancer,TabDDPM,0.509561403508772,0.08507037469192232,0.1756198627703584
Cancer,WGAN_GP,0.9393859649122807,0.02040234222359416,0.021770085739020527
Mushroom,CTABGAN,0.5512443815548527,0.01356548749142893,0.02511328859855887
Mushroom,CTGAN,0.5428150491093724,0.01716168581389458,0.03166985397608805
Mushroom,CopulaGAN,0.5521999334110206,0.0117134089314774,0.02146144038627288
Mushroom,ForestDiffusion,0.7637214915931413,0.008653099958176449,0.011454255600212914
Mushroom,GaussianCopula,0.5736340935575162,0.01514749709633736,0.0264615142149831
Mushroom,TVAE,0.6034201764607958,0.00741148965955205,0.01236962381406008
Mushroom,TabDDPM,0.48539370734143505,0.01640728508662641,0.03396837358990486
Mushroom,WGAN_GP,0.663868819710338,0.009988855928536721,0.015082654168949822
