Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.830322,0.507649,0.875520,0.873225,-0.002295,0.198733,0.500000,0.003743,0.000000
TVAE,0.828657,0.457810,0.845295,0.873235,0.027940,0.198733,0.500000,0.003743,0.000000
CTABGAN,0.895316,0.581475,0.848045,0.873235,0.025190,0.198733,0.500000,0.003743,0.000000
WGAN-GP,0.766527,0.532177,0.862225,0.873235,0.011010,0.198733,0.500000,0.003743,0.000000
GaussianCopula,0.821755,0.579011,0.852225,0.873235,0.021010,0.198733,0.500000,0.003743,0.000000
CopulaGAN,0.845611,0.540008,0.854640,0.873235,0.018595,0.198733,0.500000,0.003743,0.000000
CTGAN,0.867679,0.524211,0.829640,0.873235,0.043595,0.198733,0.500000,0.003743,0.000000
TabDDPM,0.398630,0.549238,0.855695,0.873225,0.017530,0.198733,0.500000,0.003743,0.000000
