Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.188900,0.480298,0.684800,0.629350,-0.055450,0.528046,0.190476,0.579951,0.380952
TVAE,0.881179,0.582294,0.382650,0.629050,0.246400,0.528046,0.190476,0.579951,0.380952
CTABGAN,0.968700,0.702351,0.321600,0.629050,0.307450,0.528046,0.190476,0.579951,0.380952
WGAN-GP,0.937600,0.752183,0.407250,0.629050,0.221800,0.528046,0.190476,0.579951,0.380952
GaussianCopula,0.925026,0.704147,0.467200,0.629050,0.161850,0.528046,0.190476,0.579951,0.380952
CopulaGAN,0.854850,0.763280,0.091450,0.629050,0.537600,0.528046,0.190476,0.579951,0.380952
CTGAN,0.861948,0.847734,0.133600,0.629050,0.495450,0.528046,0.190476,0.579951,0.380952
TabDDPM,0.104300,0.940729,0.411350,0.629350,0.218000,0.528046,0.190476,0.579951,0.380952
