Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.188900,0.480298,0.684800,0.629350,-0.055450
TVAE,TVAE,0.881179,0.582294,0.382650,0.629050,0.246400
CTABGAN,CTABGAN,0.968700,0.702351,0.321600,0.629050,0.307450
WGAN_GP,WGAN-GP,0.937600,0.752183,0.407250,0.629050,0.221800
GaussianCopula,GaussianCopula,0.925026,0.704147,0.467200,0.629050,0.161850
CopulaGAN,CopulaGAN,0.854850,0.763280,0.091450,0.629050,0.537600
CTGAN,CTGAN,0.861948,0.847734,0.133600,0.629050,0.495450
TabDDPM,TabDDPM,0.104300,0.940729,0.411350,0.629350,0.218000
