Dataset,Generator,Mapping_Method,Metric,Available,Mean
8. Mushroom dataset,GaussianCopula,Hungarian,Cosine Similarity,1,0.9944284213885014
8. Mushroom dataset,GaussianCopula,Hungarian,Mahalanobis Distance,1,0.3940570978261434
8. Mushroom dataset,WGAN_GP,Greedy,Cosine Similarity,0,
8. Mushroom dataset,WGAN_GP,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,1.1701
8. Mushroom dataset,WGAN_GP,Hungarian,Cosine Similarity,1,0.864065
8. Mushroom dataset,WGAN_GP,Hungarian,Mahalanobis Distance,0,
8. Mushroom dataset,CTABGAN,Greedy,Cosine Similarity,0,
8. Mushroom dataset,CTABGAN,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,1.9831
8. Mushroom dataset,CTABGAN,Hungarian,Cosine Similarity,1,0.9666
8. Mushroom dataset,CTABGAN,Hungarian,Mahalanobis Distance,0,
8. Mushroom dataset,TabDDPM,Greedy,Cosine Similarity,0,
8. Mushroom dataset,TabDDPM,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,9.3739
8. Mushroom dataset,TabDDPM,Hungarian,Cosine Similarity,1,0.810579
8. Mushroom dataset,TabDDPM,Hungarian,Mahalanobis Distance,0,
8. Mushroom dataset,ForestDiffusion,Greedy,Cosine Similarity,0,
8. Mushroom dataset,ForestDiffusion,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,0.6321
8. Mushroom dataset,ForestDiffusion,Hungarian,Cosine Similarity,1,0.988409
8. Mushroom dataset,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,CTGAN,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CTGAN,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,CTGAN,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CTGAN,One-to-One Greedy,Mahalanobis Distance,1,2.43384
9. MAGIC Gamma Telescope,CTGAN,Hungarian,Cosine Similarity,1,0.987115
9. MAGIC Gamma Telescope,CTGAN,Hungarian,Mahalanobis Distance,1,3.259152594267476
9. MAGIC Gamma Telescope,CopulaGAN,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CopulaGAN,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,1,2.200845
9. MAGIC Gamma Telescope,CopulaGAN,Hungarian,Cosine Similarity,1,0.983916
9. MAGIC Gamma Telescope,CopulaGAN,Hungarian,Mahalanobis Distance,1,2.898899999348318
9. MAGIC Gamma Telescope,TVAE,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,TVAE,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,TVAE,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,TVAE,One-to-One Greedy,Mahalanobis Distance,1,1.25837
9. MAGIC Gamma Telescope,TVAE,Hungarian,Cosine Similarity,1,0.989433
9. MAGIC Gamma Telescope,TVAE,Hungarian,Mahalanobis Distance,1,1.871005046571554
9. MAGIC Gamma Telescope,GaussianCopula,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,GaussianCopula,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,1,1.948976
9. MAGIC Gamma Telescope,GaussianCopula,Hungarian,Cosine Similarity,1,0.946915
9. MAGIC Gamma Telescope,GaussianCopula,Hungarian,Mahalanobis Distance,1,2.29071670862113
9. MAGIC Gamma Telescope,WGAN_GP,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,WGAN_GP,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,1.209
9. MAGIC Gamma Telescope,WGAN_GP,Hungarian,Cosine Similarity,1,0.997771
9. MAGIC Gamma Telescope,WGAN_GP,Hungarian,Mahalanobis Distance,1,1.17739482499675
9. MAGIC Gamma Telescope,CTABGAN,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CTABGAN,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,1.9498
9. MAGIC Gamma Telescope,CTABGAN,Hungarian,Cosine Similarity,1,0.995642
9. MAGIC Gamma Telescope,CTABGAN,Hungarian,Mahalanobis Distance,1,1.864591197366024
9. MAGIC Gamma Telescope,TabDDPM,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,TabDDPM,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,4.5721
9. MAGIC Gamma Telescope,TabDDPM,Hungarian,Cosine Similarity,1,0.923839
9. MAGIC Gamma Telescope,TabDDPM,Hungarian,Mahalanobis Distance,1,4.284835835531674
9. MAGIC Gamma Telescope,ForestDiffusion,Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,ForestDiffusion,Greedy,Mahalanobis Distance,0,
9. MAGIC Gamma Telescope,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
9. MAGIC Gamma Telescope,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,1.432
9. MAGIC Gamma Telescope,ForestDiffusion,Hungarian,Cosine Similarity,1,0.992639
9. MAGIC Gamma Telescope,ForestDiffusion,Hungarian,Mahalanobis Distance,1,1.307832354805954
10. Metro interstate,CTGAN,Greedy,Cosine Similarity,0,
10. Metro interstate,CTGAN,Greedy,Mahalanobis Distance,0,
10. Metro interstate,CTGAN,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,CTGAN,Hungarian,Cosine Similarity,1,0.9998118622548122
10. Metro interstate,CTGAN,Hungarian,Mahalanobis Distance,1,0.5035159578153979
10. Metro interstate,CopulaGAN,Greedy,Cosine Similarity,0,
10. Metro interstate,CopulaGAN,Greedy,Mahalanobis Distance,0,
10. Metro interstate,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,CopulaGAN,Hungarian,Cosine Similarity,1,0.9999827423012392
10. Metro interstate,CopulaGAN,Hungarian,Mahalanobis Distance,1,0.4004089346444876
10. Metro interstate,TVAE,Greedy,Cosine Similarity,0,
10. Metro interstate,TVAE,Greedy,Mahalanobis Distance,0,
10. Metro interstate,TVAE,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,TVAE,Hungarian,Cosine Similarity,1,0.9957562261949416
10. Metro interstate,TVAE,Hungarian,Mahalanobis Distance,1,0.2293317570974291
10. Metro interstate,GaussianCopula,Greedy,Cosine Similarity,0,
10. Metro interstate,GaussianCopula,Greedy,Mahalanobis Distance,0,
10. Metro interstate,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,GaussianCopula,Hungarian,Cosine Similarity,1,0.992558973006293
10. Metro interstate,GaussianCopula,Hungarian,Mahalanobis Distance,1,27.57770093164357
10. Metro interstate,WGAN_GP,Greedy,Cosine Similarity,0,
10. Metro interstate,WGAN_GP,Greedy,Mahalanobis Distance,0,
10. Metro interstate,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,WGAN_GP,Hungarian,Cosine Similarity,1,0.9897666683510477
10. Metro interstate,WGAN_GP,Hungarian,Mahalanobis Distance,1,3.055943100071951
10. Metro interstate,CTABGAN,Greedy,Cosine Similarity,0,
10. Metro interstate,CTABGAN,Greedy,Mahalanobis Distance,0,
10. Metro interstate,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,CTABGAN,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,CTABGAN,Hungarian,Cosine Similarity,1,0.9930134503165852
10. Metro interstate,CTABGAN,Hungarian,Mahalanobis Distance,1,2.433241937847617
10. Metro interstate,TabDDPM,Greedy,Cosine Similarity,0,
10. Metro interstate,TabDDPM,Greedy,Mahalanobis Distance,0,
10. Metro interstate,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,TabDDPM,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,TabDDPM,Hungarian,Cosine Similarity,1,0.9498556148901524
10. Metro interstate,TabDDPM,Hungarian,Mahalanobis Distance,1,13.54874748944148
10. Metro interstate,ForestDiffusion,Greedy,Cosine Similarity,0,
10. Metro interstate,ForestDiffusion,Greedy,Mahalanobis Distance,0,
10. Metro interstate,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
10. Metro interstate,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,0,
10. Metro interstate,ForestDiffusion,Hungarian,Cosine Similarity,1,0.9962714485893248
10. Metro interstate,ForestDiffusion,Hungarian,Mahalanobis Distance,1,0.2975506383791378
11. online shopping,CTGAN,Greedy,Cosine Similarity,0,
11. online shopping,CTGAN,Greedy,Mahalanobis Distance,0,
11. online shopping,CTGAN,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,CTGAN,Hungarian,Cosine Similarity,1,0.9999978326412216
11. online shopping,CTGAN,Hungarian,Mahalanobis Distance,1,1.567793840720491
11. online shopping,CopulaGAN,Greedy,Cosine Similarity,0,
11. online shopping,CopulaGAN,Greedy,Mahalanobis Distance,0,
11. online shopping,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,CopulaGAN,Hungarian,Cosine Similarity,1,0.9999985902043173
11. online shopping,CopulaGAN,Hungarian,Mahalanobis Distance,1,1.58151116938155
11. online shopping,TVAE,Greedy,Cosine Similarity,0,
11. online shopping,TVAE,Greedy,Mahalanobis Distance,0,
11. online shopping,TVAE,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,TVAE,Hungarian,Cosine Similarity,1,0.9999769900404132
11. online shopping,TVAE,Hungarian,Mahalanobis Distance,1,2.384211658479305
11. online shopping,GaussianCopula,Greedy,Cosine Similarity,0,
11. online shopping,GaussianCopula,Greedy,Mahalanobis Distance,0,
11. online shopping,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,GaussianCopula,Hungarian,Cosine Similarity,1,0.9999974157084122
11. online shopping,GaussianCopula,Hungarian,Mahalanobis Distance,1,1.587593292473918
11. online shopping,WGAN_GP,Greedy,Cosine Similarity,0,
11. online shopping,WGAN_GP,Greedy,Mahalanobis Distance,0,
11. online shopping,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,WGAN_GP,Hungarian,Cosine Similarity,0,
11. online shopping,WGAN_GP,Hungarian,Mahalanobis Distance,1,3.055943100071951
11. online shopping,CTABGAN,Greedy,Cosine Similarity,0,
11. online shopping,CTABGAN,Greedy,Mahalanobis Distance,0,
11. online shopping,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,CTABGAN,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,CTABGAN,Hungarian,Cosine Similarity,0,
11. online shopping,CTABGAN,Hungarian,Mahalanobis Distance,1,2.433241937847617
11. online shopping,TabDDPM,Greedy,Cosine Similarity,0,
11. online shopping,TabDDPM,Greedy,Mahalanobis Distance,0,
11. online shopping,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,TabDDPM,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,TabDDPM,Hungarian,Cosine Similarity,0,
11. online shopping,TabDDPM,Hungarian,Mahalanobis Distance,1,5.638238186073312
11. online shopping,ForestDiffusion,Greedy,Cosine Similarity,0,
11. online shopping,ForestDiffusion,Greedy,Mahalanobis Distance,0,
11. online shopping,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
11. online shopping,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,0,
11. online shopping,ForestDiffusion,Hungarian,Cosine Similarity,0,
11. online shopping,ForestDiffusion,Hungarian,Mahalanobis Distance,1,1.816702233657161
12. Air Quality,CTGAN,Greedy,Cosine Similarity,0,
12. Air Quality,CTGAN,Greedy,Mahalanobis Distance,0,
12. Air Quality,CTGAN,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
12. Air Quality,CTGAN,Hungarian,Cosine Similarity,1,0.9740564407359084
12. Air Quality,CTGAN,Hungarian,Mahalanobis Distance,1,145.4258331068809
12. Air Quality,CopulaGAN,Greedy,Cosine Similarity,0,
12. Air Quality,CopulaGAN,Greedy,Mahalanobis Distance,0,
12. Air Quality,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
12. Air Quality,CopulaGAN,Hungarian,Cosine Similarity,1,0.9658485018218728
12. Air Quality,CopulaGAN,Hungarian,Mahalanobis Distance,1,42.25175791284352
12. Air Quality,TVAE,Greedy,Cosine Similarity,0,
12. Air Quality,TVAE,Greedy,Mahalanobis Distance,0,
12. Air Quality,TVAE,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
12. Air Quality,TVAE,Hungarian,Cosine Similarity,1,0.9959795553323112
12. Air Quality,TVAE,Hungarian,Mahalanobis Distance,1,20.60500284182482
12. Air Quality,GaussianCopula,Greedy,Cosine Similarity,0,
12. Air Quality,GaussianCopula,Greedy,Mahalanobis Distance,0,
12. Air Quality,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
12. Air Quality,GaussianCopula,Hungarian,Cosine Similarity,1,0.9978391067700032
12. Air Quality,GaussianCopula,Hungarian,Mahalanobis Distance,1,18.53194361248073
12. Air Quality,WGAN_GP,Greedy,Cosine Similarity,0,
12. Air Quality,WGAN_GP,Greedy,Mahalanobis Distance,0,
12. Air Quality,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,4.9184
12. Air Quality,WGAN_GP,Hungarian,Cosine Similarity,0,
12. Air Quality,WGAN_GP,Hungarian,Mahalanobis Distance,0,
12. Air Quality,CTABGAN,Greedy,Cosine Similarity,0,
12. Air Quality,CTABGAN,Greedy,Mahalanobis Distance,0,
12. Air Quality,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,9.2838
12. Air Quality,CTABGAN,Hungarian,Cosine Similarity,0,
12. Air Quality,CTABGAN,Hungarian,Mahalanobis Distance,0,
12. Air Quality,TabDDPM,Greedy,Cosine Similarity,0,
12. Air Quality,TabDDPM,Greedy,Mahalanobis Distance,0,
12. Air Quality,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,6.392
12. Air Quality,TabDDPM,Hungarian,Cosine Similarity,1,0.957594
12. Air Quality,TabDDPM,Hungarian,Mahalanobis Distance,0,
12. Air Quality,ForestDiffusion,Greedy,Cosine Similarity,0,
12. Air Quality,ForestDiffusion,Greedy,Mahalanobis Distance,0,
12. Air Quality,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
12. Air Quality,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,1.7287
12. Air Quality,ForestDiffusion,Hungarian,Cosine Similarity,1,0.998953
12. Air Quality,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CTGAN,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CTGAN,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CTGAN,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CTGAN,Hungarian,Cosine Similarity,1,0.9968473117249576
13. Concrete Compressive Strength,CTGAN,Hungarian,Mahalanobis Distance,1,5.018744814748363
13. Concrete Compressive Strength,CopulaGAN,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CopulaGAN,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CopulaGAN,Hungarian,Cosine Similarity,1,0.9944795361352042
13. Concrete Compressive Strength,CopulaGAN,Hungarian,Mahalanobis Distance,1,6.507187039173957
13. Concrete Compressive Strength,TVAE,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,TVAE,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,TVAE,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,TVAE,Hungarian,Cosine Similarity,1,0.9972194728703944
13. Concrete Compressive Strength,TVAE,Hungarian,Mahalanobis Distance,1,3.145877314034491
13. Concrete Compressive Strength,GaussianCopula,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,GaussianCopula,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,GaussianCopula,Hungarian,Cosine Similarity,1,0.9961556904529508
13. Concrete Compressive Strength,GaussianCopula,Hungarian,Mahalanobis Distance,1,3.68576914499426
13. Concrete Compressive Strength,WGAN_GP,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,WGAN_GP,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,3.6759
13. Concrete Compressive Strength,WGAN_GP,Hungarian,Cosine Similarity,1,0.976834
13. Concrete Compressive Strength,WGAN_GP,Hungarian,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CTABGAN,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CTABGAN,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,3.3377
13. Concrete Compressive Strength,CTABGAN,Hungarian,Cosine Similarity,1,0.980089
13. Concrete Compressive Strength,CTABGAN,Hungarian,Mahalanobis Distance,0,
13. Concrete Compressive Strength,TabDDPM,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,TabDDPM,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,1.7551
13. Concrete Compressive Strength,TabDDPM,Hungarian,Cosine Similarity,1,0.998188
13. Concrete Compressive Strength,TabDDPM,Hungarian,Mahalanobis Distance,0,
13. Concrete Compressive Strength,ForestDiffusion,Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,ForestDiffusion,Greedy,Mahalanobis Distance,0,
13. Concrete Compressive Strength,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
13. Concrete Compressive Strength,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,0.9112
13. Concrete Compressive Strength,ForestDiffusion,Hungarian,Cosine Similarity,1,0.999365
13. Concrete Compressive Strength,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
14. Energy Efficiency,CTGAN,Greedy,Cosine Similarity,0,
14. Energy Efficiency,CTGAN,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,CTGAN,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,CTGAN,Hungarian,Cosine Similarity,1,0.9966612583435426
14. Energy Efficiency,CTGAN,Hungarian,Mahalanobis Distance,1,45637.72490186258
14. Energy Efficiency,CopulaGAN,Greedy,Cosine Similarity,0,
14. Energy Efficiency,CopulaGAN,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,CopulaGAN,Hungarian,Cosine Similarity,1,0.9967512227047748
14. Energy Efficiency,CopulaGAN,Hungarian,Mahalanobis Distance,1,51117.38255461063
14. Energy Efficiency,TVAE,Greedy,Cosine Similarity,0,
14. Energy Efficiency,TVAE,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,TVAE,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,TVAE,Hungarian,Cosine Similarity,1,0.9991856395133506
14. Energy Efficiency,TVAE,Hungarian,Mahalanobis Distance,1,18868.03098811942
14. Energy Efficiency,GaussianCopula,Greedy,Cosine Similarity,0,
14. Energy Efficiency,GaussianCopula,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,GaussianCopula,Hungarian,Cosine Similarity,1,0.9993231090584036
14. Energy Efficiency,GaussianCopula,Hungarian,Mahalanobis Distance,1,21169.76852420071
14. Energy Efficiency,WGAN_GP,Greedy,Cosine Similarity,0,
14. Energy Efficiency,WGAN_GP,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,23616.3467
14. Energy Efficiency,WGAN_GP,Hungarian,Cosine Similarity,1,0.999045
14. Energy Efficiency,WGAN_GP,Hungarian,Mahalanobis Distance,0,
14. Energy Efficiency,CTABGAN,Greedy,Cosine Similarity,0,
14. Energy Efficiency,CTABGAN,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,21021.1892
14. Energy Efficiency,CTABGAN,Hungarian,Cosine Similarity,1,0.998061
14. Energy Efficiency,CTABGAN,Hungarian,Mahalanobis Distance,0,
14. Energy Efficiency,TabDDPM,Greedy,Cosine Similarity,0,
14. Energy Efficiency,TabDDPM,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,15946.4815
14. Energy Efficiency,TabDDPM,Hungarian,Cosine Similarity,1,0.999033
14. Energy Efficiency,TabDDPM,Hungarian,Mahalanobis Distance,0,
14. Energy Efficiency,ForestDiffusion,Greedy,Cosine Similarity,0,
14. Energy Efficiency,ForestDiffusion,Greedy,Mahalanobis Distance,0,
14. Energy Efficiency,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
14. Energy Efficiency,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,41.2109
14. Energy Efficiency,ForestDiffusion,Hungarian,Cosine Similarity,1,0.999999
14. Energy Efficiency,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
15. Real Estate Valuation,CTGAN,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CTGAN,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,CTGAN,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,CTGAN,Hungarian,Cosine Similarity,1,0.9169089186365058
15. Real Estate Valuation,CTGAN,Hungarian,Mahalanobis Distance,1,16692.75223370301
15. Real Estate Valuation,CopulaGAN,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CopulaGAN,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,CopulaGAN,Hungarian,Cosine Similarity,1,0.8511433790000289
15. Real Estate Valuation,CopulaGAN,Hungarian,Mahalanobis Distance,1,16693.83443314724
15. Real Estate Valuation,TVAE,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,TVAE,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,TVAE,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,TVAE,Hungarian,Cosine Similarity,1,0.923216777270658
15. Real Estate Valuation,TVAE,Hungarian,Mahalanobis Distance,1,16693.78910852161
15. Real Estate Valuation,GaussianCopula,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,GaussianCopula,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,GaussianCopula,Hungarian,Cosine Similarity,1,0.9033702266244976
15. Real Estate Valuation,GaussianCopula,Hungarian,Mahalanobis Distance,1,16693.55375105767
15. Real Estate Valuation,WGAN_GP,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,WGAN_GP,Greedy,Mahalanobis Distance,0,
15. Real Estate Valuation,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
15. Real Estate Valuation,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,1.4639
15. Real Estate Valuation,WGAN_GP,Hungarian,Cosine Similarity,1,0.998436
15. Real Estate Valuation,WGAN_GP,Hungarian,Mahalanobis Distance,0,
15. Real Estate Valuation,CTABGAN,Greedy,Cosine Similarity,0,
15. Real Estate Valuation,CTABGAN,Greedy,Mahalanobis Distance,0,
