Dataset,Generator,Mapping_Method,Metric,Available,Mean
2. Alzhimers,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,1.7733
2. Alzhimers,WGAN_GP,Hungarian,Cosine Similarity,1,0.9998872837596192
2. Alzhimers,WGAN_GP,Hungarian,Mahalanobis Distance,1,1.749388884153588
2. Alzhimers,CTABGAN,Greedy,Cosine Similarity,0,
2. Alzhimers,CTABGAN,Greedy,Mahalanobis Distance,0,
2. Alzhimers,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
2. Alzhimers,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,2.9484
2. Alzhimers,CTABGAN,Hungarian,Cosine Similarity,1,0.9998100910307864
2. Alzhimers,CTABGAN,Hungarian,Mahalanobis Distance,1,2.808648543884104
2. Alzhimers,TabDDPM,Greedy,Cosine Similarity,0,
2. Alzhimers,TabDDPM,Greedy,Mahalanobis Distance,0,
2. Alzhimers,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
2. Alzhimers,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,3.317
2. Alzhimers,TabDDPM,Hungarian,Cosine Similarity,1,0.991531010819118
2. Alzhimers,TabDDPM,Hungarian,Mahalanobis Distance,1,3.151104083475662
2. Alzhimers,ForestDiffusion,Greedy,Cosine Similarity,0,
2. Alzhimers,ForestDiffusion,Greedy,Mahalanobis Distance,0,
2. Alzhimers,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
2. Alzhimers,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,1.4367
2. Alzhimers,ForestDiffusion,Hungarian,Cosine Similarity,1,0.9999908867907576
2. Alzhimers,ForestDiffusion,Hungarian,Mahalanobis Distance,1,1.42151413008528
3. Adult,CTGAN,Greedy,Cosine Similarity,0,
3. Adult,CTGAN,Greedy,Mahalanobis Distance,0,
3. Adult,CTGAN,One-to-One Greedy,Cosine Similarity,0,
3. Adult,CTGAN,One-to-One Greedy,Mahalanobis Distance,1,1.768268
3. Adult,CTGAN,Hungarian,Cosine Similarity,1,0.9996423581191256
3. Adult,CTGAN,Hungarian,Mahalanobis Distance,1,0.312119816355832
3. Adult,CopulaGAN,Greedy,Cosine Similarity,0,
3. Adult,CopulaGAN,Greedy,Mahalanobis Distance,0,
