Metric,N,Mean,Median,Std,Min,Max,N_Positive,N_Negative,N_Ties,Pct_Hungarian_Improved,Pct_Hungarian_Worse,Pct_Ties
Delta_Cosine_(Hung-Pairwise),108,0.9707020965391435,0.984672403038314,0.06614507827313143,0.41577899999999995,1.050175,108,0,0,100.0,0.0,0.0
Delta_Mahalanobis_(Greedy-Hung),106,1.3539837169811533,0.12918450000012205,6.058954526072828,-1.1336229999999998,38.742597,97,6,3,91.50943396226415,5.660377358490566,2.830188679245283
