Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
14. Energy Efficiency,Energy,CTGAN,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,45637.72490186258,excel_sheets_privacy_mahalanobis_summary,40179.76135793436,163.3012710646189,139212.5424813092,31959.10235550683
14. Energy Efficiency,Energy,CopulaGAN,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,51117.38255461063,excel_sheets_privacy_mahalanobis_summary,45687.0266223065,83.18681620943852,136673.2393047267,34907.20709496645
14. Energy Efficiency,Energy,GaussianCopula,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,21169.76852420071,excel_sheets_privacy_mahalanobis_summary,19420.35551369582,10.04690247607567,78628.54817660141,15140.18999856453
14. Energy Efficiency,Energy,TVAE,768.0,excel sheets/2. Privacy/14. Energy Efficiency/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,18868.03098811942,excel_sheets_privacy_mahalanobis_summary,14472.38954821747,41.0074285257206,99800.2871555502,16774.04993850178
15. Real Estate Valuation,RealEstate,CTGAN,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,16692.75223370301,excel_sheets_privacy_mahalanobis_summary,14914.35317514412,967.5565466665817,34799.95070839091,9654.142646979984
15. Real Estate Valuation,RealEstate,CopulaGAN,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,16693.83443314724,excel_sheets_privacy_mahalanobis_summary,14909.91509159214,966.9373535151608,34802.39736587837,9654.691532386054
15. Real Estate Valuation,RealEstate,GaussianCopula,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,16693.55375105767,excel_sheets_privacy_mahalanobis_summary,14913.68004610379,966.9756943318247,34803.0004263523,9654.578142422311
15. Real Estate Valuation,RealEstate,TVAE,414.0,excel sheets/2. Privacy/15. Real Estate Valuation/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,16693.78910852161,excel_sheets_privacy_mahalanobis_summary,14913.64803848199,967.339248023518,34800.98809171184,9654.601567840991
12. Air Quality,AirQuality,TVAE,1000.0,excel sheets/2. Privacy/12. Air Quality/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,20.60500284182482,excel_sheets_privacy_mahalanobis_summary,16.21327998067885,0.8544464882895672,245.3039008844068,19.75701051960114
12. Air Quality,AirQuality,GaussianCopula,1000.0,excel sheets/2. Privacy/12. Air Quality/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,18.53194361248073,excel_sheets_privacy_mahalanobis_summary,14.14205360573295,0.03061025601935997,236.3365387328331,20.51828447876321
12. Air Quality,AirQuality,CopulaGAN,1000.0,excel sheets/2. Privacy/12. Air Quality/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,42.25175791284352,excel_sheets_privacy_mahalanobis_summary,32.09349378292053,1.115993466345588,341.5978979982923,38.98403143773134
12. Air Quality,AirQuality,CTGAN,1000.0,excel sheets/2. Privacy/12. Air Quality/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,145.4258331068809,excel_sheets_privacy_mahalanobis_summary,51.13250143845033,0.6236647882930503,1631.648555219604,273.4387842080232
11. online shopping,OnlineShop,WGAN_GP,1000.0,excel sheets/2. Privacy/11. online shopping/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,3.055943100071951,excel_sheets_privacy_mahalanobis_summary,3.011558095334109,0.4950530136508738,8.024027544085847,1.193018101731685
11. online shopping,OnlineShop,TabDDPM,1000.0,excel sheets/2. Privacy/11. online shopping/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,5.638238186073312,excel_sheets_privacy_mahalanobis_summary,5.732618047667283,0.143010376448748,9.734178388317511,2.359367707938793
11. online shopping,OnlineShop,ForestDiffusion,1000.0,excel sheets/2. Privacy/11. online shopping/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,1.816702233657161,excel_sheets_privacy_mahalanobis_summary,1.654405815807491,0.110700606241123,6.083313832407932,0.9207155559561222
11. online shopping,OnlineShop,CTABGAN,1000.0,excel sheets/2. Privacy/11. online shopping/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,2.433241937847617,excel_sheets_privacy_mahalanobis_summary,2.18865295183662,0.2052085027418037,6.783075256148769,1.246927700892049
10. Metro interstate,Metro,WGAN_GP,1000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,3.055943100071951,excel_sheets_privacy_mahalanobis_summary,3.011558095334109,0.4950530136508738,8.024027544085847,1.193018101731685
10. Metro interstate,Metro,TabDDPM,1000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,13.54874748944148,excel_sheets_privacy_mahalanobis_summary,18.66076249070087,0.0,31.32619628224026,12.19777736275455
10. Metro interstate,Metro,TVAE,5000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.2293317570974291,excel_sheets_privacy_mahalanobis_summary,0.02203575452511808,4.635155626047929e-07,37.0159897858797,1.389130632070223
10. Metro interstate,Metro,GaussianCopula,5000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,27.57770093164357,excel_sheets_privacy_mahalanobis_summary,32.72182784096612,0.1325027378798853,41.08458599787649,11.11708582569364
10. Metro interstate,Metro,ForestDiffusion,1000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.2975506383791378,excel_sheets_privacy_mahalanobis_summary,0.1345270861604804,0.0004462003349221332,15.21642398448066,0.7661928988622234
10. Metro interstate,Metro,CopulaGAN,5000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.4004089346444876,excel_sheets_privacy_mahalanobis_summary,0.2571878797960432,2.968725728847451e-05,38.74996097999503,1.155162117865425
10. Metro interstate,Metro,CTGAN,5000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,0.5035159578153979,excel_sheets_privacy_mahalanobis_summary,0.0781060834032303,1.091659106627168e-06,37.55117519896112,1.485877391716603
10. Metro interstate,Metro,CTABGAN,1000.0,excel sheets/2. Privacy/10. Metro interstate/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,2.433241937847617,excel_sheets_privacy_mahalanobis_summary,2.18865295183662,0.2052085027418037,6.783075256148769,1.246927700892049
13. Concrete Compressive Strength,Concrete,GaussianCopula,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,3.68576914499426,excel_sheets_privacy_mahalanobis_summary,3.344362097052171,0.709740688442712,11.44347005756497,1.862690496487484
13. Concrete Compressive Strength,Concrete,CopulaGAN,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,6.507187039173957,excel_sheets_privacy_mahalanobis_summary,5.487956188098216,0.6220992977117284,32.87737528060236,4.199989167007964
13. Concrete Compressive Strength,Concrete,CTGAN,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,5.018744814748363,excel_sheets_privacy_mahalanobis_summary,4.188352080310691,0.4807200150378232,19.38115293828775,3.17729807383716
11. online shopping,OnlineShop,CTGAN,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Mahalanobis Distance,1.567793840720491,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,CopulaGAN,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Mahalanobis Distance,1.58151116938155,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,GaussianCopula,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Mahalanobis Distance,1.587593292473918,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,TVAE,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Mahalanobis Distance,2.384211658479305,curated_mapping_cost_comparison,,,,
