Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
2. Alzhimers,Alzheimers,CTGAN,284.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_AD.xlsx,Hungarian,Mahalanobis Distance,9.748478010813969,latest_generator_excel_preferred,8.450875312924925,1.150738328928272,34.41966330186063,5.611505113348751
2. Alzhimers,Alzheimers,CopulaGAN,284.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_AD.xlsx,Hungarian,Mahalanobis Distance,11.68276110607751,latest_generator_excel_preferred,10.59698479260254,1.687299191236739,32.09784739714387,5.957771566361092
2. Alzhimers,Alzheimers,WGAN_GP,284.0,Generators/Other GANS/Hungarian_Mahalanobis_WGAN_CTABGAN.xlsx,Hungarian,Mahalanobis Distance,1.749388884153588,latest_generator_excel_preferred,1.626753778207503,0.7556951586481364,6.685018393468129,0.6722373005245867
2. Alzhimers,Alzheimers,CTABGAN,284.0,Generators/Other GANS/Hungarian_Mahalanobis_WGAN_CTABGAN.xlsx,Hungarian,Mahalanobis Distance,2.808648543884104,latest_generator_excel_preferred,2.87040605170717,0.7638313357659344,4.458625458946309,0.7113198811119412
2. Alzhimers,Alzheimers,ForestDiffusion,284.0,Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx,Hungarian,Mahalanobis Distance,1.42151413008528,latest_generator_excel_preferred,1.356326492131371,0.5284664870292564,2.937824141357155,0.4661170080209586
2. Alzhimers,Alzheimers,TabDDPM,284.0,Generators/Diffusion GANs/Hungarian_Mahalanobis_WGAN_TabDDPM.xlsx,Hungarian,Mahalanobis Distance,3.151104083475662,latest_generator_excel_preferred,2.341357250724199,0.644120758125376,8.25496097030844,1.984879651385247
3. Adult,Adult,TVAE,2000.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_Adult_Census.xlsx,Hungarian,Mahalanobis Distance,0.1163703617203237,latest_generator_excel_preferred,0.07547425967796056,0.0,0.4553987594311926,0.1357133670873385
3. Adult,Adult,CTGAN,2000.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_Adult_Census.xlsx,Hungarian,Mahalanobis Distance,0.312119816355832,latest_generator_excel_preferred,0.1954141904211065,0.0003989093519426483,2.583930394688821,0.300203714018637
3. Adult,Adult,TabDDPM,1000.0,Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx,Hungarian,Mahalanobis Distance,11.73058872994562,latest_generator_excel_preferred,15.22000746123599,1.319195370450432,18.66373973516059,5.566590407713151
3. Adult,Adult,ForestDiffusion,1000.0,Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx,Hungarian,Mahalanobis Distance,0.7604998920067207,latest_generator_excel_preferred,0.5621513394615805,0.03654705566858059,9.719050040269963,0.7817288564274226
3. Adult,Adult,CTABGAN,1000.0,Generators/Other GANS/Adult_Hungarian_Mahalanobis.xlsx,Hungarian,Mahalanobis Distance,2.428502572522146,latest_generator_excel_preferred,1.569826037322659,0.01872974709854498,9.035898188363687,1.875059400758238
3. Adult,Adult,WGAN_GP,1000.0,Generators/Other GANS/Adult_Hungarian_Mahalanobis.xlsx,Hungarian,Mahalanobis Distance,1.647321943434293,latest_generator_excel_preferred,1.444232565363539,0.216403273056022,11.82267051101156,1.127138505094519
3. Adult,Adult,GaussianCopula,2000.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_Adult_Census.xlsx,Hungarian,Mahalanobis Distance,2.484689273011973,latest_generator_excel_preferred,1.805734567791119,0.1904726928515296,8.069579335274454,1.825003303729841
3. Adult,Adult,CopulaGAN,2000.0,Generators/SDV models/Hungarian_Mahalanobis_Four_Models_Adult_Census.xlsx,Hungarian,Mahalanobis Distance,0.6750320130668681,latest_generator_excel_preferred,0.4763211668968664,0.1854891104378175,8.220181635324542,0.6521044157973658
