Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.944539,0.504819,0.572078,0.489624,-0.082454,-0.412282,-0.500000,0.497256,0.304408
TVAE,0.921080,1.000000,0.493764,0.572398,0.078634,-0.412282,-0.500000,0.497256,0.304408
CTABGAN,0.911592,0.661855,0.352657,0.572398,0.219740,-0.412282,-0.500000,0.497256,0.304408
WGAN-GP,0.734693,0.810978,0.481857,0.572398,0.090541,-0.412282,-0.500000,0.497256,0.304408
GaussianCopula,0.884307,1.000000,0.516740,0.572398,0.055658,-0.412282,-0.500000,0.497256,0.304408
CopulaGAN,0.734702,1.000000,-0.410392,0.572398,0.982789,-0.412282,-0.500000,0.497256,0.304408
CTGAN,0.764289,1.000000,-1.242459,0.572398,1.814857,-0.412282,-0.500000,0.497256,0.304408
TabDDPM,0.659290,0.761111,0.279785,0.489624,0.209839,-0.412282,-0.500000,0.497256,0.304408
