Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.1,10,8,3.3202941435963167
WGAN_GP,2.0,10,8,3.3202941435963167
TVAE,2.9,10,8,3.3202941435963167
CTABGAN,4.2,10,8,3.3202941435963167
GaussianCopula,4.8,10,8,3.3202941435963167
CTGAN,6.0,10,8,3.3202941435963167
TabDDPM,7.2,10,8,3.3202941435963167
CopulaGAN,7.8,10,8,3.3202941435963167
