Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.1,10,8,3.3202941435963167,1
WGAN_GP,2.0,10,8,3.3202941435963167,1
TVAE,2.9,10,8,3.3202941435963167,1
CTABGAN,4.2,10,8,3.3202941435963167,1
GaussianCopula,4.8,10,8,3.3202941435963167,1
CTGAN,6.0,10,8,3.3202941435963167,1
TabDDPM,7.2,10,8,3.3202941435963167,1
CopulaGAN,7.8,10,8,3.3202941435963167,1
