Generator_A,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN_GP,Metric
CTABGAN,1.0,0.7239013660375079,0.022668507690026818,0.08769924053362621,0.9993871140773083,0.9359488943337724,0.11114634904002374,0.47609033581021853,Accuracy
CTGAN,0.7239013660375079,1.0,0.7239013660375078,0.00020732119181343656,0.957969746641418,0.08769924053362654,0.957969746641418,0.006353212836490818,Accuracy
CopulaGAN,0.022668507690026818,0.7239013660375078,1.0,2.6778764650181586e-08,0.11114634904002374,0.00020732119181343656,0.9993871140773083,3.307007426900377e-06,Accuracy
ForestDiffusion,0.08769924053362621,0.00020732119181343656,2.6778764650181586e-08,1.0,0.016746893738023627,0.7239013660375073,7.153418336569572e-07,0.991963587007253,Accuracy
GaussianCopula,0.9993871140773083,0.957969746641418,0.11114634904002374,0.016746893738023627,1.0,0.664540179682142,0.3571340262817363,0.1723049290960349,Accuracy
TVAE,0.9359488943337724,0.08769924053362654,0.00020732119181343656,0.7239013660375073,0.664540179682142,1.0,0.0022069413981274932,0.991963587007253,Accuracy
TabDDPM,0.11114634904002374,0.957969746641418,0.9993871140773083,7.153418336569572e-07,0.3571340262817363,0.0022069413981274932,1.0,5.6362590518443945e-05,Accuracy
WGAN_GP,0.47609033581021853,0.006353212836490818,3.307007426900377e-06,0.991963587007253,0.1723049290960349,0.991963587007253,5.6362590518443945e-05,1.0,Accuracy
