Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap_R2
ForestDiffusion,ForestDiffusion,0.944539,0.504819,0.572078,0.489624,-0.082454
TVAE,TVAE,0.921080,1.000000,0.493764,0.572398,0.078634
CTABGAN,CTABGAN,0.911592,0.661855,0.352657,0.572398,0.219740
WGAN_GP,WGAN-GP,0.734693,0.810978,0.481857,0.572398,0.090541
GaussianCopula,GaussianCopula,0.884307,1.000000,0.516740,0.572398,0.055658
CopulaGAN,CopulaGAN,0.734702,1.000000,-0.410392,0.572398,0.982789
CTGAN,CTGAN,0.764289,1.000000,-1.242459,0.572398,1.814857
TabDDPM,TabDDPM,0.659290,0.761111,0.279785,0.489624,0.209839
