dataset_id,Dataset,generator,Generator,Quality_Score,Quality_Score_sd,MIA_AUC,MIA_AUC_sd,R2_Gap,R2_Gap_sd,R2_TSTR,R2_TSTR_sd
air_quality,Air Quality,CTABGAN,CTABGAN,0.8187336302634944,0.010928917642143897,0.7208024691358024,0.057513736949082225,0.8253467073602543,0.3765824269536428,0.17431142352783294,0.3765824269536428
air_quality,Air Quality,CTGAN,CTGAN,0.9039949435974295,0.009622676131241814,0.6577901234567902,0.05143451654401661,0.02357770212390987,0.00987971137029844,0.9760804287641776,0.009879711370298439
air_quality,Air Quality,CopulaGAN,CopulaGAN,0.9100680125988214,0.008944360436118378,0.6313950617283951,0.030103832799301244,0.03682037476306311,0.02213880710005322,0.962837756125024,0.022138807100053226
air_quality,Air Quality,ForestDiffusion,ForestDiffusion,0.9041210175532587,0.010240553336956764,0.46681481481481485,0.03559063198938238,0.0033241697867276002,0.0015618068847811398,0.9963339611013595,0.0015618068847811713
air_quality,Air Quality,GaussianCopula,GaussianCopula,0.7538892658400576,0.0,1.0,0.0,0.074916165247085,0.0,0.9247419656410022,0.0
air_quality,Air Quality,TVAE,TVAE,0.9085872481003369,0.011128932283425664,0.49780246913580256,0.042522289447210385,0.0323699921052763,0.04901450228262145,0.967288138782811,0.04901450228262145
air_quality,Air Quality,TabDDPM,TabDDPM,0.7127442595183102,0.0170869983806827,0.9001111111111111,0.03197546488249058,0.08510200165543935,0.044672306674344076,0.9145561292326478,0.044672306674344034
air_quality,Air Quality,WGAN_GP,WGAN-GP,0.9229578092500269,0.007503917547698977,0.5999629629629629,0.06076683308781606,0.0016128883887698699,0.0006575144512738943,0.9980452424993173,0.0006575144512738803
concrete,Concrete,CTABGAN,CTABGAN,0.7421611009004069,0.013549906541713395,0.8478395061728395,0.13241886847222206,1.4758883798708848,1.8046246434060702,-0.7227704770940048,1.8046246434060702
concrete,Concrete,CTGAN,CTGAN,0.7186925104599524,0.023640216094726507,0.7916172839506173,0.056518538594251426,1.204066098553926,0.25514974358385434,-0.45094819577704615,0.25514974358385434
concrete,Concrete,CopulaGAN,CopulaGAN,0.7176021291861499,0.012213403227815108,0.8265308641975307,0.06511069573774338,1.1616396733945755,0.5235109600340154,-0.40852177061769535,0.5235109600340154
concrete,Concrete,ForestDiffusion,ForestDiffusion,0.8932617019690181,0.0031692934887062874,0.5277160493827161,0.03929996983355528,0.09477368882905518,0.01418240643984833,0.6583442139478247,0.014182406439848319
concrete,Concrete,GaussianCopula,GaussianCopula,0.8490976018837287,0.0,0.7964197530864199,0.0,0.9027790240778379,0.0,-0.1496611213009582,0.0
concrete,Concrete,TVAE,TVAE,0.8891154767791892,0.01221960287685651,0.6982345679012346,0.024561665565124614,0.2608676373608873,0.027942504144092762,0.4922502654159927,0.02794250414409274
concrete,Concrete,TabDDPM,TabDDPM,0.8209728243014119,0.04205029934893109,0.7230000000000001,0.06916972149521187,0.20416037806209064,0.042234205996487105,0.5489575247147893,0.04223420599648712
concrete,Concrete,WGAN_GP,WGAN-GP,0.8893905136487412,0.007739073360671718,0.7611851851851852,0.03943628935663774,0.5974795082512886,0.1947978001323775,0.15563839452559142,0.1947978001323775
energy_efficiency,Energy Efficiency,CTABGAN,CTABGAN,0.567184303789104,0.05150131837502704,0.9067777777777779,0.04820015656849734,0.750810560319678,0.2604049698328056,0.22729150955444424,0.2604049698328055
energy_efficiency,Energy Efficiency,CTGAN,CTGAN,0.6883471484200429,0.010186848010883952,0.7619135802469137,0.06388078051699202,1.0294803480185721,0.2550397167784604,-0.05137827814444974,0.2550397167784603
energy_efficiency,Energy Efficiency,CopulaGAN,CopulaGAN,0.669743374649759,0.018130279399032712,0.8310246913580247,0.051218287859200906,0.9517420631043111,0.19949852880071367,0.02636000676981126,0.19949852880071356
energy_efficiency,Energy Efficiency,ForestDiffusion,ForestDiffusion,0.8089955951970357,0.0030743212020176085,0.5237901234567902,0.0338497341399654,0.00978821274766178,0.0010885943444750863,0.9683138571264605,0.0010885943444750908
energy_efficiency,Energy Efficiency,GaussianCopula,GaussianCopula,0.8001880437833089,0.0,0.8809876543209876,0.0,0.0872007041346722,0.0,0.8909013657394501,0.0
energy_efficiency,Energy Efficiency,TVAE,TVAE,0.8859789889933023,0.012163026203913536,0.6434938271604937,0.02697266704584325,0.10023205508020512,0.019501485658968868,0.8778700147939172,0.01950148565896886
energy_efficiency,Energy Efficiency,TabDDPM,TabDDPM,0.7083436774543002,0.029203901652061784,0.7707283950617284,0.08228673573146014,0.05984962156992998,0.057599200461994654,0.9182524483041922,0.05759920046199465
energy_efficiency,Energy Efficiency,WGAN_GP,WGAN-GP,0.782964603596189,0.00486226341500135,0.6566172839506172,0.08242495715882671,0.02688783840733016,0.003729133732955579,0.9512142314667923,0.0037291337329555777
metro,Metro Interstate,CTABGAN,CTABGAN,0.6917377232142858,0.024863607071725382,0.8264691358024692,0.07384012438306954,2.808654123433891,4.939724954547311,-2.8762944941593203,4.939724954547311
metro,Metro Interstate,CTGAN,CTGAN,0.7547390625,0.006509616825867523,0.6745555555555556,0.04187899261995649,0.04368245954027532,0.051769957810636105,-0.11132283026570447,0.05176995781063612
metro,Metro Interstate,CopulaGAN,CopulaGAN,0.6422515625,0.006652220064950869,1.0,0.0,0.01104484569468713,0.02598086690700724,-0.07868521642011625,0.025980866907007297
metro,Metro Interstate,ForestDiffusion,ForestDiffusion,0.6741781249999999,0.016763537168074546,0.7784691358024691,0.0326579549944634,-0.02712107256413569,0.04814801228017944,-0.04051929816129341,0.048148012280179474
metro,Metro Interstate,GaussianCopula,GaussianCopula,0.5787031249999999,0.0,1.0,0.0,0.0161029576532008,0.0,-0.08374332837863,0.0
metro,Metro Interstate,TVAE,TVAE,0.8503546875,0.012531046622241318,0.781753086419753,0.03412625971388173,0.7584232508839392,0.39930271402877854,-0.8260636216093683,0.3993027140287784
metro,Metro Interstate,TabDDPM,TabDDPM,0.39124531250000005,0.04268098911857311,0.9574320987654321,0.02779016946587226,0.41653782105027093,0.16226243552966926,-0.48417819177570004,0.16226243552966926
metro,Metro Interstate,WGAN_GP,WGAN-GP,0.4830328125,0.02394300964887261,0.5420246913580247,0.05065180662192211,0.9804764582210351,1.309845923816006,-1.0481168289464642,1.309845923816006
online_shopping,Online Shopping,CTABGAN,CTABGAN,0.10206358523314611,0.0034655774167019785,1.0,0.0,2.0959284305151398,0.4430459261700024,-1.2584776724696747,0.44304592617000227
online_shopping,Online Shopping,CTGAN,CTGAN,0.7137991611104509,0.008987256628599616,0.6038271604938272,0.03556517550092586,0.44684660701767925,0.05984686988768933,0.39060415102778545,0.059846869887689294
online_shopping,Online Shopping,CopulaGAN,CopulaGAN,0.7131865104156592,0.012090656335152187,0.6427777777777777,0.04301670518839698,0.4377407689798072,0.05280108140860735,0.3997099890656576,0.05280108140860733
online_shopping,Online Shopping,ForestDiffusion,ForestDiffusion,0.3335447883768397,0.0031823167967812284,0.9380123456790124,0.01617838311674922,0.027895078604658403,0.014445642035936401,0.8095556794408063,0.014445642035936406
online_shopping,Online Shopping,GaussianCopula,GaussianCopula,0.6985660618611964,0.0,0.5802469135802469,0.0,0.3547480059005065,0.0,0.4827027521449584,0.0
