dataset,dataset_id,problem_type,generator,metric_category,metric_name,mean,sd,mean_sd,n_seeds,median,min,max,seed_42,seed_123,seed_2024,seed_68,seed_91,seed_2025,seed_55,seed_155,seed_255,seed_355
Adult,adult,classification,CTABGAN,Compute,evaluation_time_seconds,62.992686611091585,39.292433269408875,62.9927 ± 39.2924,10,48.795985434539034,28.89556631306186,128.9310016238596,29.31416466785595,29.2826290470548,28.89556631306186,128.9310016238596,76.75862962100655,65.85331829707138,85.85652529699973,31.68280088900065,121.6135777829986,31.73865257200669
Adult,adult,classification,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0 ± 0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adult,adult,classification,CTABGAN,Compute,total_time_seconds,4212.533968064706,4749.572424287495,4212.53 ± 4749.57,10,2912.9444573450605,643.9836334860884,13142.8325182,652.4220287129283,649.1772371968254,643.9836334860884,2930.53747934592,2895.351435344201,2937.133484207094,2983.595511375,12893.394873377,13142.8325182,2396.911479401999
Adult,adult,classification,CTABGAN,Compute,training_time_seconds,4149.401230608323,4737.133448594205,4149.4 ± 4737.13,10,2809.8852400860055,615.0751315141097,13020.940302554,623.0922574209981,619.8811222841032,615.0751315141097,2801.502888330026,2818.267591841985,2871.125497506,2897.610046562,12861.56950070601,13020.940302554,2364.947967364002
Adult,adult,classification,CTABGAN,Fidelity,KS_Complement,0.8355120833333333,0.1869409487295956,0.835512 ± 0.186941,10,0.9488083333333333,0.5557416666666667,0.9641416666666666,0.57255,0.5660499999999999,0.5557416666666667,0.9495416666666666,0.9538375,0.9521833333333332,0.949925,0.9641416666666666,0.948075,0.943075
Adult,adult,classification,CTABGAN,Fidelity,MMD,0.01520497888654584,0.004805888390719937,0.015205 ± 0.00480589,10,0.01425665081376005,0.0090091833895064,0.0229552623543725,0.0107644948536015,0.0203157439446324,0.0115948897150075,0.0110862408768147,0.0129958352943525,0.0155174663331676,0.0229552623543725,0.0090091833895064,0.0181254390461257,0.0196852330578776
Adult,adult,classification,CTABGAN,Fidelity,Quality_Score,0.8954616736111112,0.055868898175021775,0.895462 ± 0.0558689,10,0.9261143055555556,0.7746139583333334,0.9371872222222222,0.8516233333333334,0.7746139583333334,0.8331525,0.91374375,0.9263168055555556,0.9305604166666668,0.9371872222222222,0.9259118055555556,0.9325072222222224,0.9289997222222224
Adult,adult,classification,CTABGAN,Fidelity,Wasserstein_Distance,2291.1060293680343,1025.1010773881492,2291.11 ± 1025.1,10,2228.6791874999994,1106.45330475553,3791.584333333333,1106.45330475553,1129.255270652159,1411.248076605992,3791.584333333333,2417.559575,3413.1459,1549.377841666666,2430.814391666665,3621.822799999999,2039.798799999999
Adult,adult,classification,CTABGAN,Privacy,MIA_AUC,0.7486666666666667,0.13553667467160352,0.748667 ± 0.135537,10,0.8217901234567901,0.4937037037037037,0.8630864197530865,0.5339506172839505,0.6732098765432101,0.4937037037037037,0.8354320987654321,0.8135802469135802,0.845679012345679,0.7629629629629631,0.8300000000000001,0.8350617283950618,0.8630864197530865
Adult,adult,classification,CTABGAN,Privacy,Mahalanobis_Distance,4.582433255900474,0.5145070272943685,4.58243 ± 0.514507,10,4.866509478290938,3.73828927430239,4.977884382363154,3.880844107606742,3.914505839767935,3.73828927430239,4.977884382363154,4.849608015843194,4.883410940738682,4.769329969352488,4.924883640566653,4.91770454252354,4.96787184593996
Adult,adult,classification,CTABGAN,Privacy,Mean_Distance,4.582433255900474,0.5145070272943685,4.58243 ± 0.514507,10,4.866509478290938,3.73828927430239,4.977884382363154,3.880844107606742,3.914505839767935,3.73828927430239,4.977884382363154,4.849608015843194,4.883410940738682,4.769329969352488,4.924883640566653,4.91770454252354,4.96787184593996
Adult,adult,classification,CTABGAN,Privacy,Median_Distance,4.447534441543334,0.5725984850649591,4.44753 ± 0.572598,10,4.782643114077743,3.550310397462487,4.892428172166426,3.633841066628912,3.691575417560814,3.550310397462487,4.892428172166426,4.775032993923181,4.797530055638067,4.635286270612436,4.790253234232305,4.838155718135964,4.87093108907275
Adult,adult,classification,CTABGAN,Privacy,NNDR,0.8913591647604642,0.028074277661601907,0.891359 ± 0.0280743,10,0.9088218665135416,0.8473105426765587,0.914016444639336,0.8473105426765587,0.8573446334092896,0.8497525428329902,0.914016444639336,0.8954465445881804,0.9082730650559422,0.9121101602431996,0.909370667971141,0.9096559406126002,0.9103111055754044
Adult,adult,classification,CTABGAN,Utility,Accuracy_Gap,0.08099500000000018,0.021369217577547034,0.080995 ± 0.0213692,10,0.0852166666666669,0.0456000000000001,0.111116666666667,0.0456000000000001,0.0535500000000002,0.0649000000000001,0.111116666666667,0.0817833333333335,0.093616666666667,0.0886500000000003,0.095266666666667,0.0731666666666667,0.1022999999999999
Adult,adult,classification,CTABGAN,Utility,Accuracy_TRTR,0.8237000000000002,0.0,0.8237 ± 0,10,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002
Adult,adult,classification,CTABGAN,Utility,Accuracy_TSTR,0.742705,0.021369217577547013,0.742705 ± 0.0213692,10,0.7384833333333333,0.7125833333333332,0.7781,0.7781,0.77015,0.7588,0.7125833333333332,0.7419166666666667,0.7300833333333332,0.7350499999999999,0.7284333333333332,0.7505333333333335,0.7214000000000003
Adult,adult,classification,CTABGAN,Utility,F1_Gap,0.07986789193124996,0.020062850072053554,0.0798679 ± 0.0200629,10,0.0866988806843336,0.0438025264865373,0.1008590030855481,0.046066113959523,0.0438025264865373,0.072075208628337,0.09684952843532,0.0869646389369361,0.0825439877886758,0.0944100216168117,0.0886747679430796,0.0864331224317311,0.1008590030855481
Adult,adult,classification,CTABGAN,Utility,F1_TRTR,0.8179017788152698,0.0,0.817902 ± 0,10,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698,0.8179017788152698
Adult,adult,classification,CTABGAN,Utility,F1_TSTR,0.7380338868840198,0.02006285007205353,0.738034 ± 0.0200629,10,0.7312028981309362,0.7170427757297217,0.7740992523287324,0.7718356648557467,0.7740992523287324,0.7458265701869328,0.7210522503799498,0.7309371398783336,0.7353577910265939,0.723491757198458,0.7292270108721902,0.7314686563835386,0.7170427757297217
Adult,adult,classification,CTABGAN,Utility,Precision_Gap,0.07258875488929106,0.024525584189261828,0.0725888 ± 0.0245256,10,0.0813242485305199,0.0342013132314309,0.1002835965101602,0.035517058882533,0.0342013132314309,0.0480904065707767,0.0822356149296792,0.0889430594329822,0.0726714939104998,0.096303224102315,0.0872288991911731,0.0804128821313606,0.1002835965101602
Adult,adult,classification,CTABGAN,Utility,Precision_TRTR,0.81998538946126,0.0,0.819985 ± 0,10,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126,0.81998538946126
Adult,adult,classification,CTABGAN,Utility,Precision_TSTR,0.7473966345719689,0.024525584189261807,0.747397 ± 0.0245256,10,0.73866114093074,0.7197017929510998,0.785784076229829,0.7844683305787269,0.785784076229829,0.7718949828904832,0.7377497745315807,0.7310423300282778,0.7473138955507601,0.7236821653589449,0.7327564902700868,0.7395725073298993,0.7197017929510998
Adult,adult,classification,CTABGAN,Utility,ROC_AUC_Gap,0.0942007505143441,0.030254142967606264,0.0942008 ± 0.0302541,10,0.104652161612517,0.0419985303148749,0.1290875560585103,0.0419985303148749,0.0540522262130596,0.0640940115570276,0.1097636339946461,0.1155841064442001,0.0950842540505176,0.1290875560585103,0.1083267502738006,0.1009775729512334,0.1230388632855707
Adult,adult,classification,CTABGAN,Utility,ROC_AUC_TRTR,0.8297875243504865,0.0,0.829788 ± 0,10,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865,0.8297875243504865
Adult,adult,classification,CTABGAN,Utility,ROC_AUC_TSTR,0.7355867738361423,0.030254142967606236,0.735587 ± 0.0302541,10,0.7251353627379695,0.7006999682919762,0.7877889940356115,0.7877889940356115,0.7757352981374269,0.7656935127934589,0.7200238903558405,0.7142034179062864,0.7347032702999688,0.7006999682919762,0.721460774076686,0.7288099513992531,0.7067486610649159
Adult,adult,classification,CTABGAN,Utility,Recall_Gap,0.08099500000000018,0.021369217577547034,0.080995 ± 0.0213692,10,0.0852166666666669,0.0456000000000001,0.111116666666667,0.0456000000000001,0.0535500000000002,0.0649000000000001,0.111116666666667,0.0817833333333335,0.093616666666667,0.0886500000000003,0.095266666666667,0.0731666666666667,0.1022999999999999
Adult,adult,classification,CTABGAN,Utility,Recall_TRTR,0.8237000000000002,0.0,0.8237 ± 0,10,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002,0.8237000000000002
Adult,adult,classification,CTABGAN,Utility,Recall_TSTR,0.742705,0.021369217577547013,0.742705 ± 0.0213692,10,0.7384833333333333,0.7125833333333332,0.7781,0.7781,0.77015,0.7588,0.7125833333333332,0.7419166666666667,0.7300833333333332,0.7350499999999999,0.7284333333333332,0.7505333333333335,0.7214000000000003
Adult,adult,classification,CTGAN,Compute,evaluation_time_seconds,64.9885424452074,32.062444300945046,64.9885 ± 32.0624,10,76.8255696449196,22.3622117601335,103.339133383,22.3622117601335,23.53636956121773,23.96656916290522,82.14290155097842,79.46327403699979,74.1878652528394,93.45683929300004,103.339133383,96.209331302,51.22092914899986
Adult,adult,classification,CTGAN,Compute,generation_time_seconds,0.0,0.0,0 ± 0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adult,adult,classification,CTGAN,Compute,total_time_seconds,711.3335502801777,180.8332362652558,711.334 ± 180.833,10,679.8801637112629,477.3816712400876,946.966019922,681.8125435677357,675.8279928970151,677.94778385479,512.1709484371822,477.3816712400876,494.9384818889666,827.0814656089999,946.966019922,943.4445229179998,875.764072467
Adult,adult,classification,CTGAN,Compute,training_time_seconds,646.0995874841876,175.99699751428037,646.1 ± 175.997,10,656.7005046631675,397.7651414847933,847.108561182,659.4353320850059,652.2774233217351,653.9656772413291,428.6434383229353,397.7651414847933,420.6399045190774,733.5253739719999,843.394803304,847.108561182,824.240219409
