dataset_id,problem_type,generator,seed,batch,batch_label
metro,regression,CopulaGAN,42,1st_batch,1st batch
metro,regression,ForestDiffusion,42,1st_batch,1st batch
metro,regression,GaussianCopula,42,1st_batch,1st batch
metro,regression,TVAE,42,1st_batch,1st batch
metro,regression,TabDDPM,42,1st_batch,1st batch
metro,regression,WGAN_GP,42,1st_batch,1st batch
online_shopping,regression,CTABGAN,42,1st_batch,1st batch
online_shopping,regression,CTGAN,42,1st_batch,1st batch
online_shopping,regression,CopulaGAN,42,1st_batch,1st batch
online_shopping,regression,ForestDiffusion,42,1st_batch,1st batch
online_shopping,regression,GaussianCopula,42,1st_batch,1st batch
online_shopping,regression,TVAE,42,1st_batch,1st batch
online_shopping,regression,TabDDPM,42,1st_batch,1st batch
online_shopping,regression,WGAN_GP,42,1st_batch,1st batch
real_estate,regression,CTABGAN,42,1st_batch,1st batch
real_estate,regression,CTGAN,42,1st_batch,1st batch
real_estate,regression,CopulaGAN,42,1st_batch,1st batch
real_estate,regression,ForestDiffusion,42,1st_batch,1st batch
real_estate,regression,GaussianCopula,42,1st_batch,1st batch
real_estate,regression,TVAE,42,1st_batch,1st batch
real_estate,regression,TabDDPM,42,1st_batch,1st batch
real_estate,regression,WGAN_GP,42,1st_batch,1st batch
adult,classification,CTABGAN,123,1st_batch,1st batch
adult,classification,CTGAN,123,1st_batch,1st batch
adult,classification,CopulaGAN,123,1st_batch,1st batch
adult,classification,ForestDiffusion,123,1st_batch,1st batch
adult,classification,GaussianCopula,123,1st_batch,1st batch
adult,classification,TVAE,123,1st_batch,1st batch
adult,classification,TabDDPM,123,1st_batch,1st batch
adult,classification,WGAN_GP,123,1st_batch,1st batch
alzhimers,classification,CTABGAN,123,1st_batch,1st batch
alzhimers,classification,CTGAN,123,1st_batch,1st batch
alzhimers,classification,CopulaGAN,123,1st_batch,1st batch
alzhimers,classification,ForestDiffusion,123,1st_batch,1st batch
alzhimers,classification,GaussianCopula,123,1st_batch,1st batch
alzhimers,classification,TVAE,123,1st_batch,1st batch
alzhimers,classification,TabDDPM,123,1st_batch,1st batch
alzhimers,classification,WGAN_GP,123,1st_batch,1st batch
bank,classification,CTABGAN,123,1st_batch,1st batch
bank,classification,CTGAN,123,1st_batch,1st batch
bank,classification,CopulaGAN,123,1st_batch,1st batch
bank,classification,ForestDiffusion,123,1st_batch,1st batch
bank,classification,GaussianCopula,123,1st_batch,1st batch
bank,classification,TVAE,123,1st_batch,1st batch
bank,classification,TabDDPM,123,1st_batch,1st batch
bank,classification,WGAN_GP,123,1st_batch,1st batch
cancer,classification,CTABGAN,123,1st_batch,1st batch
cancer,classification,CTGAN,123,1st_batch,1st batch
cancer,classification,CopulaGAN,123,1st_batch,1st batch
cancer,classification,ForestDiffusion,123,1st_batch,1st batch
cancer,classification,GaussianCopula,123,1st_batch,1st batch
cancer,classification,TVAE,123,1st_batch,1st batch
cancer,classification,TabDDPM,123,1st_batch,1st batch
cancer,classification,WGAN_GP,123,1st_batch,1st batch
cdc_diabetes,classification,CTABGAN,123,1st_batch,1st batch
cdc_diabetes,classification,CTGAN,123,1st_batch,1st batch
cdc_diabetes,classification,CopulaGAN,123,1st_batch,1st batch
cdc_diabetes,classification,ForestDiffusion,123,1st_batch,1st batch
cdc_diabetes,classification,GaussianCopula,123,1st_batch,1st batch
cdc_diabetes,classification,TVAE,123,1st_batch,1st batch
cdc_diabetes,classification,TabDDPM,123,1st_batch,1st batch
cdc_diabetes,classification,WGAN_GP,123,1st_batch,1st batch
forest_cover,classification,CTABGAN,123,1st_batch,1st batch
forest_cover,classification,CTGAN,123,1st_batch,1st batch
forest_cover,classification,CopulaGAN,123,1st_batch,1st batch
forest_cover,classification,ForestDiffusion,123,1st_batch,1st batch
forest_cover,classification,GaussianCopula,123,1st_batch,1st batch
forest_cover,classification,TVAE,123,1st_batch,1st batch
forest_cover,classification,TabDDPM,123,1st_batch,1st batch
forest_cover,classification,WGAN_GP,123,1st_batch,1st batch
magic,classification,CTABGAN,123,1st_batch,1st batch
magic,classification,CTGAN,123,1st_batch,1st batch
magic,classification,CopulaGAN,123,1st_batch,1st batch
magic,classification,ForestDiffusion,123,1st_batch,1st batch
magic,classification,GaussianCopula,123,1st_batch,1st batch
magic,classification,TVAE,123,1st_batch,1st batch
magic,classification,TabDDPM,123,1st_batch,1st batch
magic,classification,WGAN_GP,123,1st_batch,1st batch
mushroom,classification,CTABGAN,123,1st_batch,1st batch
mushroom,classification,CTGAN,123,1st_batch,1st batch
mushroom,classification,CopulaGAN,123,1st_batch,1st batch
mushroom,classification,ForestDiffusion,123,1st_batch,1st batch
mushroom,classification,GaussianCopula,123,1st_batch,1st batch
mushroom,classification,TVAE,123,1st_batch,1st batch
mushroom,classification,TabDDPM,123,1st_batch,1st batch
mushroom,classification,WGAN_GP,123,1st_batch,1st batch
wine,classification,CTABGAN,123,1st_batch,1st batch
wine,classification,CTGAN,123,1st_batch,1st batch
wine,classification,CopulaGAN,123,1st_batch,1st batch
wine,classification,ForestDiffusion,123,1st_batch,1st batch
wine,classification,GaussianCopula,123,1st_batch,1st batch
wine,classification,TVAE,123,1st_batch,1st batch
wine,classification,TabDDPM,123,1st_batch,1st batch
wine,classification,WGAN_GP,123,1st_batch,1st batch
air_quality,regression,CTABGAN,123,1st_batch,1st batch
air_quality,regression,CTGAN,123,1st_batch,1st batch
air_quality,regression,CopulaGAN,123,1st_batch,1st batch
air_quality,regression,ForestDiffusion,123,1st_batch,1st batch
air_quality,regression,GaussianCopula,123,1st_batch,1st batch
air_quality,regression,TVAE,123,1st_batch,1st batch
air_quality,regression,TabDDPM,123,1st_batch,1st batch
air_quality,regression,WGAN_GP,123,1st_batch,1st batch
concrete,regression,CTABGAN,123,1st_batch,1st batch
concrete,regression,CTGAN,123,1st_batch,1st batch
concrete,regression,CopulaGAN,123,1st_batch,1st batch
concrete,regression,ForestDiffusion,123,1st_batch,1st batch
concrete,regression,GaussianCopula,123,1st_batch,1st batch
concrete,regression,TVAE,123,1st_batch,1st batch
concrete,regression,TabDDPM,123,1st_batch,1st batch
concrete,regression,WGAN_GP,123,1st_batch,1st batch
energy_efficiency,regression,CTABGAN,123,1st_batch,1st batch
energy_efficiency,regression,CTGAN,123,1st_batch,1st batch
energy_efficiency,regression,CopulaGAN,123,1st_batch,1st batch
energy_efficiency,regression,ForestDiffusion,123,1st_batch,1st batch
energy_efficiency,regression,GaussianCopula,123,1st_batch,1st batch
energy_efficiency,regression,TVAE,123,1st_batch,1st batch
energy_efficiency,regression,TabDDPM,123,1st_batch,1st batch
energy_efficiency,regression,WGAN_GP,123,1st_batch,1st batch
metro,regression,CTABGAN,123,1st_batch,1st batch
metro,regression,CTGAN,123,1st_batch,1st batch
metro,regression,CopulaGAN,123,1st_batch,1st batch
metro,regression,ForestDiffusion,123,1st_batch,1st batch
metro,regression,GaussianCopula,123,1st_batch,1st batch
metro,regression,TVAE,123,1st_batch,1st batch
metro,regression,TabDDPM,123,1st_batch,1st batch
metro,regression,WGAN_GP,123,1st_batch,1st batch
online_shopping,regression,CTABGAN,123,1st_batch,1st batch
online_shopping,regression,CTGAN,123,1st_batch,1st batch
online_shopping,regression,CopulaGAN,123,1st_batch,1st batch
online_shopping,regression,ForestDiffusion,123,1st_batch,1st batch
online_shopping,regression,GaussianCopula,123,1st_batch,1st batch
online_shopping,regression,TVAE,123,1st_batch,1st batch
online_shopping,regression,TabDDPM,123,1st_batch,1st batch
online_shopping,regression,WGAN_GP,123,1st_batch,1st batch
