dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,F1_Gap,0.368592147162586,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Precision_TRTR,0.9585588829451,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Precision_TSTR,0.7298174664919795,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Precision_Gap,0.2287414164531204,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Recall_TRTR,0.958187134502924,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Recall_TSTR,0.5982456140350878,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,Recall_Gap,0.3599415204678361,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,ROC_AUC_TRTR,0.9709325396825398,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,ROC_AUC_TSTR,0.7324074074074074,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Utility,ROC_AUC_Gap,0.2385251322751324,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Privacy,Mahalanobis_Distance,130.6279633148935,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Privacy,Mean_Distance,130.6279633148935,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Privacy,Median_Distance,116.4259912431834,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Privacy,NNDR,0.97853305831354,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
Cancer,cancer,classification,CopulaGAN,42,1st_batch,1st batch,Privacy,MIA_AUC,0.9998765432098766,42,1000,455,114,73.830597324064,0,6.844208926195279,80.71898122597486,classification
