Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.867091,0.492859,0.809498,0.829448,0.019950
TVAE,TVAE,0.928895,0.496098,0.755323,0.837461,0.082137
CTABGAN,CTABGAN,0.939745,0.528235,0.790294,0.837461,0.047166
WGAN_GP,WGAN-GP,0.949410,0.506651,0.801462,0.837461,0.035999
GaussianCopula,GaussianCopula,0.895806,0.727197,0.737879,0.837461,0.099582
CopulaGAN,CopulaGAN,0.888847,0.759973,0.739156,0.837461,0.098304
CTGAN,CTGAN,0.894375,0.778286,0.730683,0.837461,0.106777
TabDDPM,TabDDPM,0.722636,0.638859,0.609569,0.829448,0.219879
