Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.867091,0.492859,0.809498,0.829448,0.019950,-0.824417,-0.428571,0.500617,0.761905
TVAE,0.928895,0.496098,0.755323,0.837461,0.082137,-0.824417,-0.428571,0.500617,0.761905
CTABGAN,0.939745,0.528235,0.790294,0.837461,0.047166,-0.824417,-0.428571,0.500617,0.761905
WGAN-GP,0.949410,0.506651,0.801462,0.837461,0.035999,-0.824417,-0.428571,0.500617,0.761905
GaussianCopula,0.895806,0.727197,0.737879,0.837461,0.099582,-0.824417,-0.428571,0.500617,0.761905
CopulaGAN,0.888847,0.759973,0.739156,0.837461,0.098304,-0.824417,-0.428571,0.500617,0.761905
CTGAN,0.894375,0.778286,0.730683,0.837461,0.106777,-0.824417,-0.428571,0.500617,0.761905
TabDDPM,0.722636,0.638859,0.609569,0.829448,0.219879,-0.824417,-0.428571,0.500617,0.761905
