Dataset,Generator,Seed,LeakageLevel,Metric,MetricValue,Classifier,Regressor,Category,EvaluationType,Mean,Std,TaskType,SourceFile,Experiment,Value,RegressionModel,Leakage,TrainingPercentage
1. Cancer,CTGAN,,0.0,Precision,0.5813814731916255,MLP,,Utility,TSTR,0.5813814731916255,0.06881605869648902,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.5813814731916255,,0.0,100.0
1. Cancer,CTGAN,,0.0,Precision_Gap,0.5813814731916255,MLP,,Utility,Gap,0.4040861882828425,0.06881605869648902,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.4040861882828425,,0.0,100.0
1. Cancer,CTGAN,,0.0,Recall,0.9452380952380952,MLP,,Utility,TRTR,0.9452380952380952,0.03021089890583217,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9452380952380952,,0.0,100.0
1. Cancer,CTGAN,,0.0,Recall,0.95,MLP,,Utility,TSTR,0.95,0.0457366016959489,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.95,,0.0,100.0
1. Cancer,CTGAN,,0.0,Recall_Gap,0.95,MLP,,Utility,Gap,-0.004761904761904745,0.0457366016959489,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,-0.004761904761904745,,0.0,100.0
1. Cancer,CTGAN,,,Accuracy_Drop,,MLP,,,Gap,0.2543859649122808,,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.2543859649122808,,0.0,100.0
1. Cancer,CTGAN,,,F1_Drop,,MLP,,,Gap,0.246737124023592,,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.246737124023592,,0.0,100.0
1. Cancer,CTGAN,,,Precision_Drop,,MLP,,,Gap,0.4040861882828425,,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.4040861882828425,,0.0,100.0
1. Cancer,CTGAN,,,Recall_Drop,,MLP,,,Gap,-0.004761904761904745,,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,-0.004761904761904745,,0.0,100.0
1. Cancer,CTGAN,,0.0,Accuracy,0.9701754385964912,SVM-RBF,,Utility,TRTR,0.9701754385964912,0.01889531511275264,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9701754385964912,,0.0,100.0
1. Cancer,CTGAN,,0.0,Accuracy,0.7342105263157894,SVM-RBF,,Utility,TSTR,0.7342105263157894,0.02387834664704595,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.7342105263157894,,0.0,100.0
1. Cancer,CTGAN,,0.0,Accuracy_Gap,0.7342105263157894,SVM-RBF,,Utility,Gap,0.23596491228070182,0.02387834664704595,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.23596491228070182,,0.0,100.0
