,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
3,8. Mushroom dataset,ForestDiffusion,0.0,0.6854540568620545,0.1712066308380989,0.8740643163992137,0.5877629069160155,1.0
0,8. Mushroom dataset,CTABGAN,0.0,0.377432168857154,0.45930392579828133,0.5965175288041394,0.46771930392358785,2.0
5,8. Mushroom dataset,TVAE,0.0,0.36667292309357585,0.4039431302146414,0.6238393249874938,0.45500390579807093,3.0
7,8. Mushroom dataset,WGAN_GP,0.0,0.5100138975778759,0.2754930305176135,0.5520664642022749,0.45227340744711686,4.0
4,8. Mushroom dataset,GaussianCopula,0.0,0.3363148782492614,0.343779489884602,0.4949530413496791,0.3861457106699889,5.0
2,8. Mushroom dataset,CopulaGAN,0.0,0.3997825632837796,0.3137404995245627,0.425874725649952,0.38179759286586623,6.0
1,8. Mushroom dataset,CTGAN,0.0,0.2212644916550226,0.3697079075243822,0.5898036904498916,0.3763592760542912,7.0
6,8. Mushroom dataset,TabDDPM,0.0,0.17176280356445117,0.5327151221325226,0.25,0.30351965806553727,8.0
