,Generator,UtilityScore,FidelityScore,PrivacyScore,OverallScore,Rank,UtilityScore_Formatted,FidelityScore_Formatted,PrivacyScore_Formatted,OverallScore_Formatted
3,ForestDiffusion,0.6854540568620545,0.1712066308380989,0.8740643163992137,0.5877629069160155,1,\textbf{0.6855},0.1712,\textbf{0.8741},\textbf{0.5878}
0,CTABGAN,0.377432168857154,0.45930392579828133,0.5965175288041394,0.46771930392358785,2,0.3774,\underline{0.4593},0.5965,\underline{0.4677}
5,TVAE,0.36667292309357585,0.4039431302146414,0.6238393249874938,0.45500390579807093,3,0.3667,0.4039,\underline{0.6238},0.4550
7,WGAN_GP,0.5100138975778759,0.2754930305176135,0.5520664642022749,0.45227340744711686,4,\underline{0.5100},0.2755,0.5521,0.4523
4,GaussianCopula,0.3363148782492614,0.343779489884602,0.4949530413496791,0.3861457106699889,5,0.3363,0.3438,0.4950,0.3861
2,CopulaGAN,0.3997825632837796,0.3137404995245627,0.425874725649952,0.38179759286586623,6,0.3998,0.3137,0.4259,0.3818
1,CTGAN,0.2212644916550226,0.3697079075243822,0.5898036904498916,0.3763592760542912,7,0.2213,0.3697,0.5898,0.3764
6,TabDDPM,0.17176280356445117,0.5327151221325226,0.25,0.30351965806553727,8,0.1718,\textbf{0.5327},0.2500,0.3035
