,Generator,Mean_CV,Std_CV,N_Metrics,StabilityRank,StabilityScore
3,ForestDiffusion,0.013228375315723136,0.003597154213045351,4,1.0,0.9869443299872043
5,TVAE,0.01617631506404304,0.0064606891719534805,4,2.0,0.9840811925802231
7,WGAN_GP,0.016592978126852048,0.004620781961961603,4,3.0,0.9836778548702688
2,CopulaGAN,0.021473253716734288,0.008313339179311138,4,4.0,0.9789781537219876
0,CTABGAN,0.029206488133131446,0.013388747442860772,4,5.0,0.9716223241206836
4,GaussianCopula,0.03090537963530968,0.011288226840669754,4,6.0,0.9700211287613587
1,CTGAN,0.042041014210997874,0.01663653497438584,4,7.0,0.9596551252420423
6,TabDDPM,0.049807809863934835,0.029690798949842494,4,8.0,0.952555306413285
