Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.857667,0.394825,0.576778,0.498111,-0.078667,-0.048227,0.142857,0.851107,0.880952
TVAE,0.947430,0.491295,0.490400,0.491550,0.001150,-0.048227,0.142857,0.851107,0.880952
CTABGAN,0.834000,0.464033,0.408500,0.491550,0.083050,-0.048227,0.142857,0.851107,0.880952
WGAN-GP,0.716417,0.391144,0.423500,0.491550,0.068050,-0.048227,0.142857,0.851107,0.880952
GaussianCopula,0.951731,0.640882,0.402150,0.491550,0.089400,-0.048227,0.142857,0.851107,0.880952
CopulaGAN,0.869136,0.792671,0.291950,0.491550,0.199600,-0.048227,0.142857,0.851107,0.880952
CTGAN,0.870891,0.843152,0.253150,0.491550,0.238400,-0.048227,0.142857,0.851107,0.880952
TabDDPM,0.761333,0.719241,0.396556,0.498111,0.101556,-0.048227,0.142857,0.851107,0.880952
