Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.0,2,8,7.424403410375812
WGAN_GP,2.5,2,8,7.424403410375812
TVAE,3.5,2,8,7.424403410375812
CTABGAN,3.5,2,8,7.424403410375812
GaussianCopula,5.5,2,8,7.424403410375812
CopulaGAN,6.0,2,8,7.424403410375812
CTGAN,7.0,2,8,7.424403410375812
TabDDPM,7.0,2,8,7.424403410375812
