Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.947885,0.546859,0.961667,0.961404,-0.000263
TVAE,TVAE,0.896421,0.998391,0.926404,0.961579,0.035175
CTABGAN,CTABGAN,0.851563,0.624091,0.882719,0.961579,0.078860
WGAN_GP,WGAN-GP,0.949012,0.556715,0.939386,0.961579,0.022193
GaussianCopula,GaussianCopula,0.943748,0.792606,0.860439,0.961579,0.101140
CopulaGAN,CopulaGAN,0.721867,1.000000,0.359298,0.961579,0.602281
CTGAN,CTGAN,0.765081,1.000000,0.719386,0.961579,0.242193
TabDDPM,TabDDPM,0.401382,0.309536,0.509561,0.961404,0.451842
