Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.795400,0.393717,0.719750,0.820150,0.100400,-0.737419,-0.785714,0.414186,0.595238
TVAE,0.514101,0.197945,0.669750,0.820100,0.150350,-0.737419,-0.785714,0.414186,0.595238
CTABGAN,0.723500,0.727949,0.586000,0.820100,0.234100,-0.737419,-0.785714,0.414186,0.595238
WGAN-GP,0.467600,0.721710,0.349850,0.820100,0.470250,-0.737419,-0.785714,0.414186,0.595238
GaussianCopula,0.763417,0.974189,0.664000,0.820100,0.156100,-0.737419,-0.785714,0.414186,0.595238
CopulaGAN,0.768821,0.772825,0.662900,0.820100,0.157200,-0.737419,-0.785714,0.414186,0.595238
CTGAN,0.851945,0.632490,0.684200,0.820100,0.135900,-0.737419,-0.785714,0.414186,0.595238
TabDDPM,0.252200,0.995494,0.464800,0.820150,0.355350,-0.737419,-0.785714,0.414186,0.595238
