Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.795400,0.393717,0.719750,0.820150,0.100400
TVAE,TVAE,0.514101,0.197945,0.669750,0.820100,0.150350
CTABGAN,CTABGAN,0.723500,0.727949,0.586000,0.820100,0.234100
WGAN_GP,WGAN-GP,0.467600,0.721710,0.349850,0.820100,0.470250
GaussianCopula,GaussianCopula,0.763417,0.974189,0.664000,0.820100,0.156100
CopulaGAN,CopulaGAN,0.768821,0.772825,0.662900,0.820100,0.157200
CTGAN,CTGAN,0.851945,0.632490,0.684200,0.820100,0.135900
TabDDPM,TabDDPM,0.252200,0.995494,0.464800,0.820150,0.355350
