Generator,Average Rank,Median Rank,Std Dev Rank
ForestDiffusion,1.6666666666666667,1.0,1.9999999999999998
WGAN-GP,3.0,2.0,2.0
TVAE,3.888888888888889,3.0,1.536590742882148
GaussianCopula,4.333333333333333,5.0,1.224744871391589
CTABGAN,4.777777777777778,4.0,1.2018504251546631
CTGAN,5.777777777777778,7.0,2.5385910352879693
TabDDPM,6.222222222222222,7.0,1.986062547968831
CopulaGAN,6.333333333333333,7.0,1.5811388300841898
