Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.578900,0.499108,0.831150,0.856550,0.025400
TVAE,TVAE,0.916702,0.298611,0.829358,0.850790,0.021432
CTABGAN,CTABGAN,0.760273,0.489558,0.829750,0.850790,0.021040
WGAN_GP,WGAN-GP,0.847955,0.494883,0.844202,0.850790,0.006588
GaussianCopula,GaussianCopula,0.923657,0.700504,0.840331,0.850790,0.010459
CopulaGAN,CopulaGAN,0.882960,0.646885,0.817789,0.850790,0.033001
CTGAN,CTGAN,0.874810,0.613632,0.847522,0.850790,0.003269
TabDDPM,TabDDPM,0.527200,0.772757,0.834900,0.856550,0.021650
