Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.578900,0.499108,0.831150,0.856550,0.025400,-0.337453,-0.238095,-0.055010,0.166667
TVAE,0.916702,0.298611,0.829358,0.850790,0.021432,-0.337453,-0.238095,-0.055010,0.166667
CTABGAN,0.760273,0.489558,0.829750,0.850790,0.021040,-0.337453,-0.238095,-0.055010,0.166667
WGAN-GP,0.847955,0.494883,0.844202,0.850790,0.006588,-0.337453,-0.238095,-0.055010,0.166667
GaussianCopula,0.923657,0.700504,0.840331,0.850790,0.010459,-0.337453,-0.238095,-0.055010,0.166667
CopulaGAN,0.882960,0.646885,0.817789,0.850790,0.033001,-0.337453,-0.238095,-0.055010,0.166667
CTGAN,0.874810,0.613632,0.847522,0.850790,0.003269,-0.337453,-0.238095,-0.055010,0.166667
TabDDPM,0.527200,0.772757,0.834900,0.856550,0.021650,-0.337453,-0.238095,-0.055010,0.166667
