Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.735671,0.432609,0.954267,0.942533,-0.011733
TVAE,TVAE,0.744373,0.892402,0.871867,0.942267,0.070400
CTABGAN,CTABGAN,0.684233,0.505147,0.840533,0.942267,0.101733
WGAN_GP,WGAN-GP,0.782315,0.608032,0.879867,0.942267,0.062400
GaussianCopula,GaussianCopula,0.789691,0.693572,0.824267,0.942267,0.118000
CopulaGAN,CopulaGAN,0.639551,0.992992,0.542667,0.942267,0.399600
CTGAN,CTGAN,0.686399,0.987156,0.559733,0.942267,0.382533
TabDDPM,TabDDPM,0.435996,0.878029,0.532000,0.942533,0.410533
