Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.735671,0.432609,0.954267,0.942533,-0.011733,-0.728721,-0.642857,0.804417,0.690476
TVAE,0.744373,0.892402,0.871867,0.942267,0.070400,-0.728721,-0.642857,0.804417,0.690476
CTABGAN,0.684233,0.505147,0.840533,0.942267,0.101733,-0.728721,-0.642857,0.804417,0.690476
WGAN-GP,0.782315,0.608032,0.879867,0.942267,0.062400,-0.728721,-0.642857,0.804417,0.690476
GaussianCopula,0.789691,0.693572,0.824267,0.942267,0.118000,-0.728721,-0.642857,0.804417,0.690476
CopulaGAN,0.639551,0.992992,0.542667,0.942267,0.399600,-0.728721,-0.642857,0.804417,0.690476
CTGAN,0.686399,0.987156,0.559733,0.942267,0.382533,-0.728721,-0.642857,0.804417,0.690476
TabDDPM,0.435996,0.878029,0.532000,0.942533,0.410533,-0.728721,-0.642857,0.804417,0.690476
