Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.915197,0.475357,0.599345,0.773987,0.174642,-0.901081,-0.595238,0.207850,0.619048
TVAE,0.608031,0.587866,-0.478867,0.774562,1.253429,-0.901081,-0.595238,0.207850,0.619048
CTABGAN,0.994625,0.684771,-0.060402,0.774562,0.834964,-0.901081,-0.595238,0.207850,0.619048
WGAN-GP,0.010415,0.803460,-72.303658,0.774562,73.078220,-0.901081,-0.595238,0.207850,0.619048
GaussianCopula,0.704185,0.744694,0.318837,0.774562,0.455725,-0.901081,-0.595238,0.207850,0.619048
CopulaGAN,0.682000,0.804891,-0.579695,0.774562,1.354257,-0.901081,-0.595238,0.207850,0.619048
CTGAN,0.672431,0.809520,-0.260671,0.774562,1.035233,-0.901081,-0.595238,0.207850,0.619048
TabDDPM,0.781700,0.965651,-2.053242,0.773987,2.827230,-0.901081,-0.595238,0.207850,0.619048
