Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap_R2
ForestDiffusion,ForestDiffusion,0.915197,0.475357,0.599345,0.773987,0.174642
TVAE,TVAE,0.608031,0.587866,-0.478867,0.774562,1.253429
CTABGAN,CTABGAN,0.994625,0.684771,-0.060402,0.774562,0.834964
WGAN_GP,WGAN-GP,0.010415,0.803460,-72.303658,0.774562,73.078220
GaussianCopula,GaussianCopula,0.704185,0.744694,0.318837,0.774562,0.455725
CopulaGAN,CopulaGAN,0.682000,0.804891,-0.579695,0.774562,1.354257
CTGAN,CTGAN,0.672431,0.809520,-0.260671,0.774562,1.035233
TabDDPM,TabDDPM,0.781700,0.965651,-2.053242,0.773987,2.827230
