Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.3,10,8,3.3202941435963167,1
WGAN_GP,1.8,10,8,3.3202941435963167,1
TVAE,3.2,10,8,3.3202941435963167,1
GaussianCopula,4.1,10,8,3.3202941435963167,1
CopulaGAN,5.6,10,8,3.3202941435963167,1
CTABGAN,5.9,10,8,3.3202941435963167,1
CTGAN,6.1,10,8,3.3202941435963167,1
TabDDPM,8.0,10,8,3.3202941435963167,1
