Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.3,10,8,3.3202941435963167
WGAN_GP,1.8,10,8,3.3202941435963167
TVAE,3.2,10,8,3.3202941435963167
GaussianCopula,4.1,10,8,3.3202941435963167
CopulaGAN,5.6,10,8,3.3202941435963167
CTABGAN,5.9,10,8,3.3202941435963167
CTGAN,6.1,10,8,3.3202941435963167
TabDDPM,8.0,10,8,3.3202941435963167
