,Generator,CompositeScore,CompositeRank,UtilityComponent,PrivacyComponent,FidelityComponent,Weights
0,ForestDiffusion,0.6725850565443787,1.0,0.30633857729467423,0.20667178314434262,0.15957469610536185,40%/30%/30%
1,TVAE,0.6404380553355751,2.0,0.2764577975335653,0.1540624867441642,0.20991777105784562,40%/30%/30%
2,GaussianCopula,0.6098719033691582,3.0,0.2909938942945817,0.13989803291360095,0.17897997616097558,40%/30%/30%
3,CTABGAN,0.607006777503021,4.0,0.24471465946539273,0.20151974522466917,0.16077237281295909,40%/30%/30%
4,WGAN_GP,0.598220171429529,5.0,0.26123191952552266,0.18784747216368433,0.14914077974032203,40%/30%/30%
5,TabDDPM,0.5473983627807344,6.0,0.21777377880581478,0.17912716853083568,0.15049741544408393,40%/30%/30%
6,CTGAN,0.42992781812280434,7.0,0.18818951540983117,0.1355342687889055,0.10620403392406765,40%/30%/30%
7,CopulaGAN,0.4104719449889944,8.0,0.1814555882015314,0.13458615361326404,0.09443020317419897,40%/30%/30%
