Metric,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN_GP
MAE,\textbf{2310.0295 $\pm$ 15.7290},\underline{2310.0295 $\pm$ 15.7290},2310.0295 $\pm$ 15.7290,5.1460 $\pm$ 0.2680,2310.0295 $\pm$ 15.7290,2310.0295 $\pm$ 15.7290,5.1460 $\pm$ 0.2680,2310.0295 $\pm$ 15.7290
MSE,\textbf{8208006.9225 $\pm$ 59934.2179},\underline{8208006.9225 $\pm$ 59934.2179},8208006.9225 $\pm$ 59934.2179,56.2257 $\pm$ 5.9068,8208006.9225 $\pm$ 59934.2179,8208006.9225 $\pm$ 59934.2179,56.2257 $\pm$ 5.9068,8208006.9225 $\pm$ 59934.2179
R2,-0.9714 $\pm$ 0.0144,-0.9714 $\pm$ 0.0144,-0.9714 $\pm$ 0.0144,\textbf{0.7755 $\pm$ 0.0303},-0.9714 $\pm$ 0.0144,-0.9714 $\pm$ 0.0144,\underline{0.7755 $\pm$ 0.0303},-0.9714 $\pm$ 0.0144
RMSE,\textbf{2864.9428 $\pm$ 10.4755},\underline{2864.9428 $\pm$ 10.4755},2864.9428 $\pm$ 10.4755,7.4880 $\pm$ 0.3951,2864.9428 $\pm$ 10.4755,2864.9428 $\pm$ 10.4755,7.4880 $\pm$ 0.3951,2864.9428 $\pm$ 10.4755
