Metric,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN_GP
Accuracy,\textbf{0.9667 $\pm$ 0.0102},\underline{0.9667 $\pm$ 0.0102},0.9667 $\pm$ 0.0102,0.9667 $\pm$ 0.0102,0.9667 $\pm$ 0.0102,0.9667 $\pm$ 0.0102,0.9667 $\pm$ 0.0102,0.9667 $\pm$ 0.0102
F1,\textbf{0.9538 $\pm$ 0.0144},\underline{0.9538 $\pm$ 0.0144},0.9538 $\pm$ 0.0144,0.9538 $\pm$ 0.0144,0.9538 $\pm$ 0.0144,0.9538 $\pm$ 0.0144,0.9538 $\pm$ 0.0144,0.9538 $\pm$ 0.0144
Precision,\textbf{0.9735 $\pm$ 0.0221},\underline{0.9735 $\pm$ 0.0221},0.9735 $\pm$ 0.0221,0.9735 $\pm$ 0.0221,0.9735 $\pm$ 0.0221,0.9735 $\pm$ 0.0221,0.9735 $\pm$ 0.0221,0.9735 $\pm$ 0.0221
Recall,\textbf{0.9357 $\pm$ 0.0283},\underline{0.9357 $\pm$ 0.0283},0.9357 $\pm$ 0.0283,0.9357 $\pm$ 0.0283,0.9357 $\pm$ 0.0283,0.9357 $\pm$ 0.0283,0.9357 $\pm$ 0.0283,0.9357 $\pm$ 0.0283
