Generator,UtilityScore_Cancer,FidelityScore_Cancer,PrivacyScore_Cancer,OverallScore_Cancer,UtilityStd_Cancer,FidelityStd_Cancer,PrivacyStd_Cancer,Rank_Cancer,UtilityScore_Mushroom,FidelityScore_Mushroom,PrivacyScore_Mushroom,OverallScore_Mushroom,UtilityStd_Mushroom,FidelityStd_Mushroom,PrivacyStd_Mushroom,Rank_Mushroom,Utility_Delta,Privacy_Delta,Fidelity_Delta,Overall_Delta
CTABGAN,0.8534899925686222,0.5275669612932169,0.6670557325674165,0.699782805185639,0.0384426253830607,0.3925352606417877,0.3020752481436006,5,0.377432168857154,0.5483620331151577,0.5651465293055633,0.4850254362690779,0.0187544013214816,0.4233101009964155,0.3057528156749705,3,0.4760578237114682,0.10190920326185315,-0.020795071821940847,0.21475736891656105
CTGAN,0.7038964675556111,0.4872794696822142,0.2013340430684206,0.4881426408474349,0.0420897219151381,0.2798978131734407,0.2911875017735278,6,0.2212644916550226,0.5100652890254719,0.6793990320601035,0.4453450929876816,0.0235452703710923,0.4217105291694392,0.3920273153705516,6,0.4826319759005885,-0.4780649889916829,-0.022785819343257685,0.042797547859753315
CopulaGAN,0.3729653880480129,0.493020634446126,0.1717370163302168,0.348613450452108,0.0779002959977417,0.2113072186826778,0.2943798743041574,8,0.3997825632837796,0.4937338788414432,0.580711160887031,0.4822465372320541,0.0144108707089533,0.4112404279912324,0.4742130076258645,4,-0.02681717523576671,-0.40897414455681425,-0.0007132443953172252,-0.13363308677994606
ForestDiffusion,0.968362898094103,0.4849657455036203,0.7279601106252133,0.7512229160762912,0.0253326156043108,0.4728531538294638,0.3868807022146142,1,0.6854540568620545,0.246898315501992,0.6501790175485291,0.5433048226599781,0.0100541082871043,0.2390044671676202,0.3697767981582697,1,0.2829088412320485,0.07778109307668413,0.2380674300016283,0.20791809341631307
GaussianCopula,0.8200940787089187,0.519908292713704,0.8121587739421542,0.7276577514803249,0.0455818488820383,0.4595556126630457,0.3445988938770379,3,0.3363148782492614,0.4824131139296354,0.542977064252405,0.4421430047543166,0.0193634142068745,0.4626855436823677,0.4540085148638113,7,0.48377920045965733,0.2691817096897492,0.037495178784068606,0.28551474672600824
TVAE,0.9230599709384476,0.5372078162303315,0.5817496483258702,0.7049112277422396,0.0299390574391595,0.4465408135061384,0.3266270920749452,4,0.3666729230935758,0.5099445363163269,0.7325289107288828,0.5194112033509932,0.010215520834009,0.4533921253521752,0.3846235259007812,2,0.5563870478448718,-0.15077926240301265,0.02726327991400468,0.18550002439124635
TabDDPM,0.3220413157082996,0.4629545687864741,0.7201306164880913,0.4837420818656894,0.1586658384894548,0.4746639280065832,0.3716551046688774,7,0.1717628035644511,0.4794436099192703,0.2294567983077688,0.2813752438938922,0.0278533887914792,0.4829562055483193,0.37104157201863,8,0.1502785121438485,0.4906738181803225,-0.0164890411327962,0.20236683797179722
WGAN_GP,0.9355254935904924,0.4785157516103453,0.7262959665789475,0.7356537128929848,0.030912339543076,0.481588944670447,0.3734551008039336,2,0.5100138975778759,0.2864860607661532,0.5187481196936311,0.4455758131690857,0.0114699475929068,0.1849091874127333,0.3424820228872008,5,0.42551159601261657,0.20754784688531636,0.19202969084419214,0.2900778997238991
