Generator,Cancer_Overall,Mushroom_Overall,Average_Overall,Cancer_Rank,Mushroom_Rank,Average_Rank
ForestDiffusion,0.7512229160762912,0.5433048226599781,0.6472638693681347,1.0,1.0,1.0
TVAE,0.7049112277422396,0.5194112033509932,0.6121612155466164,4.0,2.0,3.0
CTABGAN,0.699782805185639,0.4850254362690779,0.5924041207273585,5.0,3.0,4.0
WGAN_GP,0.7356537128929848,0.4455758131690857,0.5906147630310352,2.0,5.0,3.5
GaussianCopula,0.7276577514803249,0.4421430047543166,0.5849003781173208,3.0,7.0,5.0
CTGAN,0.4881426408474349,0.4453450929876816,0.46674386691755826,6.0,6.0,6.0
CopulaGAN,0.348613450452108,0.4822465372320541,0.415429993842081,8.0,4.0,6.0
TabDDPM,0.4837420818656894,0.2813752438938922,0.3825586628797908,7.0,8.0,7.5
