Generator,UtilityScore,FidelityScore,PrivacyScore,OverallScore,Rank,UtilityScore_Formatted,FidelityScore_Formatted,PrivacyScore_Formatted,OverallScore_Formatted,Rank_Formatted
ForestDiffusion,0.6854540568620545,0.246898315501992,0.6501790175485291,0.5433048226599781,1,\textbf{0.6855},0.2469,0.6502,\textbf{0.5433},\textbf{1.0000}
TVAE,0.3666729230935758,0.5099445363163269,0.7325289107288828,0.5194112033509932,2,0.3667,0.5099,\textbf{0.7325},\underline{0.5194},\underline{2.0000}
CTABGAN,0.377432168857154,0.5483620331151577,0.5651465293055633,0.4850254362690779,3,0.3774,\textbf{0.5484},0.5651,0.4850,3.0000
CopulaGAN,0.3997825632837796,0.4937338788414432,0.580711160887031,0.4822465372320541,4,0.3998,0.4937,0.5807,0.4822,4.0000
WGAN_GP,0.5100138975778759,0.2864860607661532,0.5187481196936311,0.4455758131690857,5,\underline{0.5100},0.2865,0.5187,0.4456,5.0000
CTGAN,0.2212644916550226,0.5100652890254719,0.6793990320601035,0.4453450929876816,6,0.2213,\underline{0.5101},\underline{0.6794},0.4453,6.0000
GaussianCopula,0.3363148782492614,0.4824131139296354,0.542977064252405,0.4421430047543166,7,0.3363,0.4824,0.5430,0.4421,7.0000
TabDDPM,0.1717628035644511,0.4794436099192703,0.2294567983077688,0.2813752438938922,8,0.1718,0.4794,0.2295,0.2814,8.0000
