Generator,Cancer_Utility,Cancer_Fidelity,Cancer_Privacy,Cancer_Overall,Cancer_Rank,Mushroom_Utility,Mushroom_Fidelity,Mushroom_Privacy,Mushroom_Overall,Mushroom_Rank,Average_Utility,Average_Fidelity,Average_Privacy,Average_Overall,Average_Rank,Cancer_Utility_TeX,Cancer_Fidelity_TeX,Cancer_Privacy_TeX,Cancer_Overall_TeX,Mushroom_Utility_TeX,Mushroom_Fidelity_TeX,Mushroom_Privacy_TeX,Mushroom_Overall_TeX,Average_Utility_TeX,Average_Fidelity_TeX,Average_Privacy_TeX,Average_Overall_TeX,Average_Rank_TeX
ForestDiffusion,0.968362898094103,0.4849657455036203,0.7279601106252133,0.7512229160762912,1.0,0.6854540568620545,0.246898315501992,0.6501790175485291,0.5433048226599781,1.0,0.8269084774780788,0.36593203050280615,0.6890695640868711,0.6472638693681347,1.0,\textbf{0.9684},0.4850,\underline{0.7280},\textbf{0.7512},\textbf{0.6855},0.2469,0.6502,\textbf{0.5433},\textbf{0.8269},0.3659,\textbf{0.6891},\textbf{0.6473},\textbf{1.0000}
TVAE,0.9230599709384476,0.5372078162303315,0.5817496483258702,0.7049112277422396,4.0,0.3666729230935758,0.5099445363163269,0.7325289107288828,0.5194112033509932,2.0,0.6448664470160117,0.5235761762733292,0.6571392795273765,0.6121612155466164,3.0,0.9231,\textbf{0.5372},0.5817,0.7049,0.3667,0.5099,\textbf{0.7325},\underline{0.5194},0.6449,\underline{0.5236},0.6571,\underline{0.6122},\underline{3.0000}
CTABGAN,0.8534899925686222,0.5275669612932169,0.6670557325674165,0.699782805185639,5.0,0.377432168857154,0.5483620331151577,0.5651465293055633,0.4850254362690779,3.0,0.6154610807128882,0.5379644972041873,0.6161011309364899,0.5924041207273585,4.0,0.8535,\underline{0.5276},0.6671,0.6998,0.3774,\textbf{0.5484},0.5651,0.4850,0.6155,\textbf{0.5380},0.6161,0.5924,4.0000
WGAN_GP,0.9355254935904924,0.4785157516103453,0.7262959665789475,0.7356537128929848,2.0,0.5100138975778759,0.2864860607661532,0.5187481196936311,0.4455758131690857,5.0,0.7227696955841841,0.3825009061882493,0.6225220431362892,0.5906147630310352,3.5,\underline{0.9355},0.4785,0.7263,\underline{0.7357},\underline{0.5100},0.2865,0.5187,0.4456,\underline{0.7228},0.3825,0.6225,0.5906,3.5000
GaussianCopula,0.8200940787089187,0.519908292713704,0.8121587739421542,0.7276577514803249,3.0,0.3363148782492614,0.4824131139296354,0.542977064252405,0.4421430047543166,7.0,0.5782044784790901,0.5011607033216696,0.6775679190972796,0.5849003781173208,5.0,0.8201,0.5199,\textbf{0.8122},0.7277,0.3363,0.4824,0.5430,0.4421,0.5782,0.5012,\underline{0.6776},0.5849,5.0000
CTGAN,0.7038964675556111,0.4872794696822142,0.2013340430684206,0.4881426408474349,6.0,0.2212644916550226,0.5100652890254719,0.6793990320601035,0.4453450929876816,6.0,0.46258047960531684,0.498672379353843,0.4403665375642621,0.46674386691755826,6.0,0.7039,0.4873,0.2013,0.4881,0.2213,\underline{0.5101},\underline{0.6794},0.4453,0.4626,0.4987,0.4404,0.4667,6.0000
CopulaGAN,0.3729653880480129,0.493020634446126,0.1717370163302168,0.348613450452108,8.0,0.3997825632837796,0.4937338788414432,0.580711160887031,0.4822465372320541,4.0,0.38637397566589626,0.4933772566437846,0.3762240886086239,0.415429993842081,6.0,0.3730,0.4930,0.1717,0.3486,0.3998,0.4937,0.5807,0.4822,0.3864,0.4934,0.3762,0.4154,6.0000
TabDDPM,0.3220413157082996,0.4629545687864741,0.7201306164880913,0.4837420818656894,7.0,0.1717628035644511,0.4794436099192703,0.2294567983077688,0.2813752438938922,8.0,0.24690205963637535,0.47119908935287225,0.47479370739793003,0.3825586628797908,7.5,0.3220,0.4630,0.7201,0.4837,0.1718,0.4794,0.2295,0.2814,0.2469,0.4712,0.4748,0.3826,7.5000
